cytoband	5q35.1	7q31.2	2q32.1	3q26.32	17q24.3	Xq11.2	10p14	1q32.1	8q24.22	
	RN7SL623P		RFTN2	CRYGS	LINC00469		LINC00709	RABIF	SNORA12|ENSG00000212342.1	
	MIR4454		MOB4	RN7SL637P	SSTR2		RNA5SP299	PCAT6	SNORA25|ENSG00000200075.1	
	KCNMB1		SNORA4|ENSG00000202434.1	TRA2B	SCARNA24|ENSG00000252274.1		LINC00708	SNORA70|ENSG00000253042.1	CCDC26	
	LCP2		C2orf66	MIR548AQ	RN7SKP180		TAF3	U6|ENSG00000272262.1	RN7SKP206	
	C5orf58		SCARNA16|ENSG00000252923.1	SENP2	LINC00511		LINC00707	snoU13|ENSG00000239046.1	LINC00977	
	MIR378E		RN7SL820P	snoU13|ENSG00000239146.1	MAP2K6		DKFZP667F0711	snoU13|ENSG00000238571.1	RN7SKP226	
	MIR585		snoU13|ENSG00000239161.1	SNORD66|ENSG00000212158.1	SNORA40|ENSG00000252352.1		MIR3155A	PTPRVP	TMEM75	
	MIR103A1		SNORD59|ENSG00000252517.1	MIR1224	FAM20A		RN7SKP78	GPR37L1	POU5F1B	
	PANK3		PCGEM1	CYP2AB1P	MIR635		SNORA14	SNORA70|ENSG00000206637.1	CASC8	
	FBLL1		NABP1	SNORA4|ENSG00000251730.1	ARSG		RN7SL445P	MIR1231	CCAT1	
	SNORA40|ENSG00000253065.1		RN7SKP179	SNORA63|ENSG00000199363.1	LRRC37A16P		AKR1C7P	MIR5191	PCAT2	
	RN7SKP60		TMEM194B	SNORA81|ENSG00000253092.1	LINC00674		U8|ENSG00000251909.1	RPS10P7	PCAT1	
	BNIP1		MIR3129	SNORA63|ENSG00000201229.1	RN7SL622P		AKR1CL1	ASCL5	LINC00861	
	CANX		MIR1245A	LINC00888	SNORA38B		U8|ENSG00000239142.1	LINC00862	RN7SL590P	
	CLTB		DIRC1	RNA5SP151	MIR548D2		U8|ENSG00000251740.1	MIR181A1HG	RN7SL329P	
	DBN1		GULP1	DCUN1D1	RN7SL756P		U8|ENSG00000239148.1	MIR4735	LINC00964	
	DOCK2		RNA5SP114	RN7SKP265	snoU13|ENSG00000238612.1		U8|ENSG00000238840.1	U3|ENSG00000252241.1	RNF139	
	DRD1		RN7SKP42	RNA5SP150	PSMD12		AKR1C1	MIR1278	TMEM65	
	DUSP1		U8|ENSG00000212581.1	RN7SL703P	SNORA8|ENSG00000207410.1		LINC00705	snoU109|ENSG00000238754.1	RN7SKP155	
	F12		snoU13|ENSG00000238306.1	RN7SL229P	RNA5SP447		LINC00704	RN7SKP126	snoU13|ENSG00000238422.1	
	FGFR4		SNORA77|ENSG00000221498.1	U8|ENSG00000201810.1	RNA5SP446		LINC00703	RNA5SP73	U3|ENSG00000221461.1	
	FOXI1		DNAJC10	RNA5SP149	MIR634		LINC00702	RN7SKP156	RNY4P5	
	FLT4		RN7SL267P	snoU13|ENSG00000239096.1	RNA5SP445		LINC00701	RNA5SP72	snoU13|ENSG00000238901.1	
	GABRP		RNA5SP113	GNB4	RN7SL735P		LINC00700	SNORD112|ENSG00000252790.1	HAS2	
	GRK6		RNU6ATAC19P	SNORA25|ENSG00000201957.1	RNA5SP444		ADARB2	RN7SL654P	RNA5SP277	
	GRM6		SNORA43|ENSG00000202216.1	PIK3CA	SLC16A6P1		MIR5699	RNA5SP71	RN7SL396P	
	HK3		snoU13|ENSG00000238339.1	RNA5SP148	RN7SL404P		RN7SL754P	RN7SKP229	RN7SKP153	
	HNRNPAB		ACA59|ENSG00000252000.1	SNORA18|ENSG00000200288.1	RN7SL409P		RNA5SP298	RNA5SP70	SNORA32|ENSG00000206776.1	
	HNRNPH1		PLEKHA3	RN7SKP52	PLEKHM1P		RNA5SP297	KIAA1614	COLEC10	
	HRH2		TTC30A	LINC00578	SMURF2		TUBB8	U6|ENSG00000272292.1	EXT1	
	LTC4S		TTC30B	LINC00501	MIR5047		ATP5C1	MIR3121	SNORA31|ENSG00000252852.1	
	MGAT1		snoU13|ENSG00000238295.1	RNA5SP147	MIR3064		CACNB2	LHX4	RN7SL826P	
	MSX2		MIR3128	snoU13|ENSG00000271842.1	SNORD104		CALML3	RN7SL230P	RN7SL228P	
	NPM1		RNA5SP112	MIR4789	SNORA76|ENSG00000266402.2		AKR1C4	IFRG15	AARD	
	MAPK9		RNU6ATAC14P	RN7SKP40	TCAM1P		KLF6	RN7SL374P	EIF3H	
	PROP1		HOXD9	RN7SKP234	RN7SL805P		AKR1C2	SNORA67|ENSG00000201619.1	RNA5SP276	
	RARS		HOXD11	snoU13|ENSG00000239141.1	ACE		TRDMT1	SNORA67|ENSG00000212338.1	LINC00536	
	SLC34A1		EVX2	SNORA72|ENSG00000200355.1	TLK2		GATA3	TOR3A	snoU13|ENSG00000238656.1	
	SLIT3		KIAA1715	RN7SL141P	TBC1D3P2		GDI2	SNORA63|ENSG00000201791.1	SNORD112|ENSG00000252559.1	
	SNCB		ATP5G3	PP13439	RN7SL800P		IDI1	RNA5SP69	TMEM74	
	STK10		SP9	snoU13|ENSG00000238359.1	BRIP1		IL2RA	C1orf220	RNA5SP275	
	ZNF354A		RN7SL65P	MIR569	snoU13|ENSG00000238799.1		IL15RA	LINC00083	snoU13|ENSG00000238687.1	
	STC2		snoU13|ENSG00000239041.1	RNY5P3	RN7SL448P		ITIH2	MIR488	RIMS2	
	FGF18		PDK1	CLDN11	RN7SL606P		MRC1	SCARNA3	MIR3151	
	SQSTM1		snoU13|ENSG00000238572.1	TERC	PPM1D		PFKFB3	snoU13|ENSG00000238872.1	RNU6ATAC8P	
	PDLIM7		METAP1D	EGFEM1P	RPL12P38		PFKP	RNA5SP68	snoU13|ENSG00000238533.1	
	ADAMTS2		ACADL	RN7SKP298	SCARNA20|ENSG00000252577.1		PHYH	RNA5SP67	snoU13|ENSG00000238372.1	
	MAML1		AOX1	MIR720	USP32		PRKCQ	SNORD78|ENSG00000208317.1	RN7SL563P	
	GFPT2		BMPR2	snoU13|ENSG00000238398.1	MIR4729		RSU1	GAS5	NACAP1	
	GNB2L1		CASP8	CT64	PRR11		VIM	RN7SKP160	RN7SKP249	
	RGS14		CASP10	ACTL6A	MIR301A		STAM	snoU13|ENSG00000238430.1	RN7SL685P	
	CPLX2		CD28	AHSG	MIR454		MLLT10	ANKRD45	RNU6ATAC41P	
	BTNL3		CHN1	APOD	RN7SL716P		CUBN	snoU13|ENSG00000251817.1	MIR1273A	
	LMAN2		CHRNA1	BCHE	PPM1E		PRPF18	TNFSF18	SNORD77|ENSG00000212414.1	
	MGAT4B		CLK1	BCL6	U3|ENSG00000212195.1		AKR1C3	SNORD112|ENSG00000252354.1	RN7SL350P	
	B4GALT7		COL3A1	BDH1	DYNLL2		CDC123	DNM3OS	RN7SKP85	
	RNF44		COL5A2	AP2M1	SRSF1		PTPLA	SCARNA20|ENSG00000253060.1	KCNS2	
	TBC1D9B		CPS1	CLCN2	VEZF1		PTER	RN7SL425P	NIPAL2	
	N4BP3		CREB1	CPN2	MRPS23		USP6NL	snoU13|ENSG00000238859.1	SNORA72|ENSG00000207067.1	
	FAF2		ATF2	DGKG	RN7SKP94		OPTN	RN7SL269P	LAPTM4B	
	WWC1		CRYGA	DLG1	RN7SL449P		NET1	RN7SL333P	U3|ENSG00000207215.1	
	FBXW11		CRYGB	DVL3	RN7SL437P		NEBL	C1orf112	PTDSS1	
	ZNF346		CRYGC	ECT2	RNF126P1		PITRM1	F5	snoU13|ENSG00000238791.1	
	TSPAN17		CRYGD	EHHADH	RN7SKP14		RPP38	RNA5SP66	FSBP	
	OR4F3		CTLA4	EIF4A2	snoZ178		CELF2	LINC00970	RNA5SP274	
	OR2V1		DLX1	EIF4G1	RN7SL699P		ZMYND11	LINC00626	LINC00535	
	PRELID1		DLX2	EPHB3	snoU13|ENSG00000238815.1		NUDT5	ANKRD36BP1	RN7SKP231	
	TLX3		EEF1B2	ETV5	AANAT		WDR37	SFT2D2	snoU13|ENSG00000239134.1	
	KCNIP1		ERBB4	MECOM	ACOX1		SEPHS1	MIR1255B2	MIR4661	
	ZNF354C		FRZB	FGF12	ACTG1		KIN	snoU13|ENSG00000238325.1	RN7SL777P	
	RPL26L1		MSTN	GHSR	BIRC5		DIP2C	RNA5SP65	RNA5SP273	
	C5orf45		GLS	GP5	APOH		LARP4B	POGK	LINC00534	
	DDX41		GPR1	HRG	ARHGDIA		GTPBP4	MIR921	RNA5SP272	
	NOP16		HOXD1	HES1	CA4		UPF2	RNA5SP64	MMP16	
	UIMC1		HOXD3	IL1RAP	CACNG1		HSPA14	UCK2	REXO1L10P|ENSG00000255940.1	
	RAB24		HOXD4	LPP	CD7		CALML5	TMCO1	REXO1L11P	
	NEURL1B		HOXD8	MFI2	CD79B		ANKRD16	SNORD112|ENSG00000252359.1	REXO1L10P|ENSG00000270416.1	
	FAM193B		HOXD10	MUC4	CDK3		FAM208B	U3|ENSG00000212538.1	snoU13|ENSG00000238566.1	
	TMED9		HOXD12	NDUFB5	CLTC		SEC61A2	RNA5SP63	SLC10A5	
	CDHR2		HOXD13	OPA1	COX11		OLAH	RNA5SP62	IMPA1P	
	SPDL1		HSPD1	PAK2	CSH1		MCM10	SNORD112|ENSG00000252740.1	RN7SL308P	
	NHP2		HSPE1	PCYT1A	CSH2		DHTKD1	RN7SL861P	RN7SL107P	
	RNF130		IDH1	SERPINI1	CSHL1		FRMD4A	C1orf111	SNORA20|ENSG00000206649.1	
	KIAA1191		INPP1	SERPINI2	CSNK1D		CAMK1D	MIR556	RN7SL41P	
	ERGIC1		ITGA6	PLD1	SLC25A10		SFMBT2	RNA5SP61	snoU13|ENSG00000238595.1	
	CLK4		ITGA4	POLR2H	CYB561		DNAJC1	MIR4654	CASC9	
	TENM2		ITGAV	PPP1R2	ACE		DCLRE1C	RN7SL466P	RNA5SP271	
	CNOT6		MAP2	PRKCI	DDX5		SUV39H2	RPL31P11	U8|ENSG00000200191.1	
	NSD1		MYO1B	MASP1	ERN1		ECHDC3	FCGR2C	RN7SL19P	
	RMND5B		MYL1	PSMD2	EVPL		ASB13	SDHC	snoU13|ENSG00000238450.1	
	RANBP17		NAB1	RFC4	BPTF		TUBAL3	MIR5187	RNA5SP270	
	BTNL8		NDUFB3	RPL35A	FASN		FAM188A	ADAMTS4	RN7SL675P	
	DOK3		NEUROD1	SI	FDXR		ITIH5	ACA64|ENSG00000238934.1	RN7SKP29	
	ZFP2		NFE2L2	ST6GAL1	FOXJ1		AKR1E2	F11R	RNA5SP269	
	RUFY1		PDE1A	SKIL	GAA		FAM107B	DCAF8	ADCY8	
	CPEB4		PMS1	SLC2A2	GALK1		CCDC3	KCNJ9	ANGPT1	
	PRR7		PTH2R	SOX2	GCGR		FBXO18	SNORD64|ENSG00000212161.1	ANXA13	
	TRIM7		SP3	SST	GH1		PLXDC2	OR10J4	ATP6V1C1	
	MXD3		SSFA2	TFRC	GH2		RBM17	RNA5SP60	BAI1	
	THOC3		STAT1	THPO	UTS2R		IDI2	RN7SL612P	OSGIN2	
	PHYKPL		STAT4	SEC62	GPS1		UCN3	MIR765	CA1	
	UNC5A		TFPI	FXR1	GRB2		UCMA	snoU13|ENSG00000238843.1	CA2	
	TRIM41		TTN	TP63	GRIN2C		C10orf111	BGLAP	CA3	
	BOD1		SUMO1	CHRD	H3F3B		FAM171A1	SNORA26|ENSG00000252236.1	CALB1	
	COL23A1		WIPF1	TNFSF10	HLF		SLC39A12	SCARNA4|ENSG00000252808.1	RUNX1T1	
	UBTD2		FZD5	EIF2B5	ICAM2		NSUN6	SNORA42|ENSG00000207475.1	CDH17	
	SCGB3A1		FZD7	USP13	ICT1		ARL5B	snoU13|ENSG00000238805.1	COX6C	
	SFXN1		SDPR	CLDN1	FOXK2		BEND7	MIR555	CYC1	
	GPRIN1		HAT1	MAP3K13	ITGB4		PROSER2	GBAP1	CYP11B1	
	C5orf47		AGPS	ADIPOQ	KCNJ2		C10orf113	EFNA3	CYP11B2	
	OR2Y1		PRKRA	KIAA0226	KCNJ16		SKIDA1	MIR4258	DECR1	
	CREBRF		SLC25A12	ECE2	KPNA2		C1QL3	SNORD59|ENSG00000252682.1	DPYS	
	BTNL9		KLF7	ABCC5	LGALS3BP		LINC00200	SNORA58|ENSG00000201129.1	E2F5	
	HIGD2A		ADAM23	TNK2	LLGL2		PRR26	C1orf189	EEF1D	
	FAM153B		NRP2	ALG3	LPO		TMEM236|ENSG00000148483.7	RN7SL431P	EYA1	
	RASGEF1C		CFLAR	KCNMB2	MAFG		MIR1265	MIR5698	FABP4	
	EFCAB9		STK17B	IGF2BP2	MAP3K3		MIR548Q	U3|ENSG00000252669.1	FABP5	
	SH3PXD2B		GTF3C3	CLDN16	MPO		MIR4293	snoU13|ENSG00000238511.1	GEM	
	FAM153A		CIR1	PDCD10	TRIM37		MIR4675	RN7SL372P	GLI4	
	OR2V2		BZW1	SLITRK3	NME1		MIR548AK	RN7SL44P	GML	
	ZNF454		ABI2	NLGN1	NPTX1			S100A7L2	GPR20	
	C5orf60		CALCRL	NCBP2	P4HB			SPRR2B	GPT	
	PFN3		LANCL1	TNIK	PDE6G			SNORA31|ENSG00000252920.1	GRINA	
	SIMC1		UBE2E3	MCF2L2	SEPT4			LINC00302	HNF4G	
	ZFP62		MTX2	ATP11B	PRKAR1A			NBPF18P	HSF1	
	CBY3		NCKAP1	VPS8	PRKCA			THEM4	IL7	
	FAM153C		RAPGEF4	ACAP2	PRPSAP1			LINGO4	IMPA1	
	FAM196B		SATB2	GPR160	PSMC5			CELF3	EIF3E	
	MIR3912		SF3B1	FETUB	PYCR1			MIR554	KCNQ3	
	MIR4634		TMEFF2	LAMP3	RAC3			SNORA44	LY6E	
	MIR4638		MOB4	KCNMB3	RAD51C			RNY4P25	LY6H	
			SPATS2L	GOLIM4	RFNG			RN7SL444P	MATN2	
			HIBCH	ZNF639	RPL38			MLLT11	MYC	
			OLA1	PEX5L	MRPL12			SNORA40|ENSG00000253047.1	NBN	
			ICOS	DNAJB11	RPS6KB1			RN7SL600P	NDUFB9	
			SLC40A1	KLHL24	SCN4A			RN7SL473P	TONSL	
			PDE11A	PIGX	SEC14L1			C1orf138	NOV	
			NOP58	TBCCD1	SECTM1			LINC00568	ODF1	
			FKBP7	LEPREL1	SRSF2			snoU13|ENSG00000238526.1	TNFRSF11B	
			MLTK	ABCF3	SGSH			RN7SL480P	ENPP2	
			PPIL3	LSG1	SMARCD2			OTUD7B	PLEC	
			ASNSD1	PARL	SUMO2			HIST2H3A	PMP2	
			MFSD6	MFN1	SOX9			HIST2H2AA3	POLR2K	
			INO80D	YEATS2	SRP68			HIST2H3C	PKIA	
			STRADB	MYNN	SUPT4H1			FAM72C	PTK2	
			ZC3H15	EIF5A2	TBCD			FCGR1C	PEX2	
			DNAH7	MCCC1	TBX2			RNA5SP59	RAD21	
			SLC39A10	HRASLS	TIMP2			NBPF15	RPL7	
			CYP20A1	MRPL47	TK1			RNA5SP58	RPL8	
			HECW2	NCEH1	TRIM25			NBPF24	RPL30	
			ALS2	SLC7A14	COIL			RN7SL261P	SDC2	
			ZDBF2	MAGEF1	AKAP1			ACP6	ST3GAL1	
			CWC22	ZMAT3	EPX			LINC00624	SLA	
			MPP4	FNDC3B	AXIN2			HYDIN2	SNTB1	
			NIF3L1	ATP13A3	DGKE			RNA5SP57	SPAG1	
			OSGEPL1	TBL1XR1	CBX4			PDZK1P1	SQLE	
			RAPH1	ZBBX	DNAH17			RNF115	STK3	
			CDK15	LRRC31	ABCC3			NUDT17	TAF2	
			TMEM237	MAP6D1	RGS9			GNRHR2	TCEB1	
			NBEAL1	PHC3	GALR2			NBPF10	TERF1	
			TRAK2	PIGZ	SPHK1			SEC22B	TG	
			BOLL	SPATA16	CACNA1G			RN7SKP88	KLF10	
			C2orf47	B3GNT5	SOCS3			LINC00623	TPD52	
			SCRN3	IQCG	SPAG9			NBPF8	TRHR	
			CARF	ATP13A4	MTMR4			SRGAP2B	TRPS1	
			PGAP1	ACTRT3	SLC16A6			ANKRD20A12P	TSTA3	
			COQ10B	LRCH3	SLC16A5			FCGR1B	COL14A1	
			CDCA7	CEP19	SLC16A3			HIST2H2BA	UQCRB	
			WDR75	LMLN	SYNGR2			ABL2	YWHAZ	
			C2orf88	KLHL6	HGS			ADAR	ZNF7	
			SESTD1	VWA5B2	NOG			ADORA1	ZNF16	
			ANKRD44	TMEM41A	BZRAP1			ALDH9A1	PSCA	
			ZNF804A	TMEM44	CYTH1			APCS	FZD6	
			MARS2	CAMK2N2	SLC9A3R1			APOA2	LY6D	
			ORMDL1	TM4SF19	COG1			FASLG	GPAA1	
			OSBPL6	RPL39L	RECQL5			ARNT	RIPK2	
			PARD3B	DNAJC19	PGS1			ASTN1	CPNE3	
			NUP35	FAM131A	TBX4			SERPINC1	FOXH1	
			TYW5	ZDHHC19	AATK			ATF3	TRPA1	
			RBM45	LRRC15	KIAA0195			ATP1A2	CCNE2	
			ICA1L	FAM43A	EIF4A3			ATP1A4	EBAG9	
			KCTD18	TMEM207	MRC2			ATP1B1	MSC	
			ALS2CR12	RTP1	HELZ			ATP2B4	KCNB2	
			CPO	TTC14	MED13			BCL9	RECQL4	
			MDH1B	WDR49	TOM1L1			C4BPA	LRRC14	
			DUSP19	LRRC34	TOB1			C4BPB	EMC2	
			ANKAR	MB21D2	ALYREF			CACNA1E	MTSS1	
			FAM117B	XXYLT1	DCAF7			CACNA1S	ZNF623	
			KANSL1L	CCDC50	ABCA10			CASQ1	KIAA0196	
			ZSWIM2	PYDC2	ABCA9			CD1A	HHLA1	
			ZNF385B	RNF168	ABCA8			CD1B	TRIB1	
			METTL21A	HTR3C	BAIAP2			CD1C	HRSP12	
			CCNYL1	LIPH	ATP5H			CD1D	NDRG1	
			PPP1R1C	HTR3D	APPBP2			CD1E	CPQ	
			SGOL2	RPL22L1	ST6GALNAC2			CD247	NCOA2	
			ALS2CR11	SLC51A	GNA13			CD5L	KHDRBS3	
			GPR155	FBXO45	SEPT9			CD34	POP1	
			FAM171B	MUC20	CD300C			CD48	WWP1	
			PIKFYVE	SENP5	POLG2			CENPF	STMN2	
			C2orf69	NAALADL2	CD300A			CHI3L1	ZHX1	
			HNRNPA3	TCTEX1D2	TMC6			CHIT1	PUF60	
			CCDC150	SMCO1	DDX42			CHRNB2	ZHX2	
			CCDC141	UTS2B	AZI1			CKS1B|ENSG00000173207.8	DENND3	
			FAM126B	HTR3E	GGA3			CLK2	ZC3H3	
			UNC80	C3orf70	JMJD6			COPA	EFR3A	
			FTCDNL1	TPRG1	EXOC7			CR1	SULF1	
			CERKL	CCDC39	ABCA6			CR1L	BOP1	
			PLEKHM3	LRRIQ4	ABCA5			CR2	ZFPM2	
			C2orf80	SAMD7	KCTD2			CRABP2	HEY1	
			DYTN	RTP2	MMD			CRP	TRAM1	
			FSIP2	OSTN	WBP2			CSRP1	SCRIB	
			MIR10B	ATP13A5	CDC42EP4			CTSE	LRRC6	
			DFNB59	WDR53	FSCN2			CTSK	LY96	
			MIR561	ANKRD18DP	NOL11			CTSS	RAD54B	
			MIR933	NRROS	TANC2			CD55	DCAF13	
			MIR1258	TMEM212	NAT9			DHX9	RNF19A	
			MIR4437	LINC00885	PITPNC1			DPT	KIAA1429	
			MIR548AE1	C3orf65	NARF			ECM1	RGS22	
			MIR4775	GMNC	OR4D1			EIF2D	FBXL6	
				MIR551B	CACNG5			EFNA1	OPLAH	
				MIR570	CACNG4			EFNA3	PABPC1	
				MIR922	SAP30BP			EFNA4	KCNV1	
				MIR1263	NT5C			ELF3	STAU2	
				MIR4448	CDR2L			ELK4	MTBP	
					MRPS7			ENSA	AGO2	
					UTP18			ETV3	MRPS28	
					RNFT1			F13B	COMMD5	
					HN1			FCER1A	MRPL13	
					TUBD1			FCER1G	ATAD2	
					DCXR			FCGR1A	CPSF1	
					TACO1			FCGR2A	LRP12	
					AMZ2			FCGR2B	RRM2B	
					ANAPC11			FCGR3A	CYHR1	
					SIRT7			FCGR3B	ASAP1	
					PTRH2			FDPS	MTERFD1	
					LUC7L3			FLG	PI15	
					SDK2			FMO1	FAM135B	
					MBTD1			FMO2	ZC2HC1A	
					BCAS3			FMO3	PHF20L1	
					TMEM104			FMO4	LACTB2	
					RNF43			FMO5	RMDN1	
					MKS1			FMOD	ZNF706	
					LINC00483			NR5A2	VPS28	
					C17orf80			DARC	FAM203A	
					CCDC40			GBA	KCNK9	
					WIPI1			GJA5	THEM6	
					SMG8			GJA8	UBR5	
					TMEM100			GLUL	FAM49B	
					NPLOC4			GPR25	AZIN1	
					ST6GALNAC1			HDGF	OTUD6B	
					TEX2			CFH	CHRAC1	
					TEX14			CFHR1	GDAP1	
					WDR45B			CFHR2	EXOSC4	
					CA10			MR1	PDP1	
					CCDC47			HSD11B1	CNGB3	
					MIF4GD			HSPA6	ESRP1	
					INTS2			IFI16	TMEM70	
					CASKIN2			IL6R	TRMT12	
					RPTOR			IL10	OXR1	
					USP36			ILF2	WDYHV1	
					RNF213			INSRR	UBE2W	
					TNRC6C			IRF6	TMEM55A	
					PCTP			IVL	SLC39A4	
					SCPEP1			KCNJ10	SYBU	
					SLC25A19			KCNK2	INTS8	
					UBE2O			KCNN3	PAG1	
					HEATR6			KISS1	GSDMC	
					FN3K			LAD1	JPH1	
					DNAI2			LAMB3	ENY2	
					MRPL38			LAMC1	SLURP1	
					ASPSCR1			LAMC2	SLC45A4	
					CARD14			LMNA	ZFAT	
					MFSD11			LMX1A	ZNF250	
					C17orf62			LOR	PRDM14	
					ARMC7			LY9	SNX16	
					CHMP6			MCL1	NECAB1	
					RHBDF2			CD46	DEPTOR	
					DHX40			SMCP	PYCRL	
					FN3KRP			MDM4	C8orf33	
					OGFOD3			MEF2D	ZBTB10	
					ZNF750			MGST3	LYNX1	
					NUP85			MNDA	DSCC1	
					C17orf70			MPZ	DERL1	
					LIMD2			MTX1	SLC52A2	
					KCNH6			MUC1	PLEKHF2	
					VMP1			MYBPH	ZFAND1	
					TSPAN10			MYOC	ZFHX4	
					QRICH2			MYOG	GSDMD	
					KIF2B			PPP1R12B	BAALC	
					CBX2			NCF2	GRHL2	
					FAM104A			NDUFS2	ARHGAP39	
					FBF1			NEK2	ZNF34	
					UNK			NHLH1	SLC25A32	
					CEP95			NIT1	DCSTAMP	
					TRIM47			NOTCH2	SLCO5A1	
					ANKRD40			NPR1	SHARPIN	
					STRADA			NTRK1	SCRT1	
					C17orf72			DDR2	CRISPLD1	
					OTOP2			PBX1	TRAPPC9	
					TTYH2			CDK18	TATDN1	
					CYGB			PDC	NCALD	
					RNF157			PDZK1	MAF1	
					C1QTNF1			PFDN2	UTP23	
					PPP1R27			PFKFB2	PARP10	
					FTSJ3			PIGC	C8orf76	
					METTL23			PIGR	TIGD5	
					HSF5			PIK3C2B	NUDCD1	
					OR4D2			PI4KB	FAM83A	
					MSI2			PKLR	PPP1R16A	
					SLC38A10			PKP1	LRRCC1	
					CANT1			PLA2G4A	TSPYL5	
					USH1G			PLXNA2	PSKH2	
					CD300LB			PRRX1	MED30	
