cytoband	8q24.21	11q13.2	3q26.2	8p11.23	Xp22.2	14q21.1	Xq25	1q22	3q21.3	16q11.2	17q23.2	4q13.3	7q22.1	15q11.2	12q23.1	7p14.3	Xq21.1	13q12.11	Xq21.31	9q33.3	20q13.2	4p16.3	5q35.3	8q22.1	Xq12	19q13.43	17p11.2	18q21.31	
		GSTP1		WHSC1L1				ILF2					RN7SL549P	MIR1268A	MIR620	DPY19L2P1		RN7SL166P		GGTA1P	FAM209A	MYL5	snoU13|ENSG00000239026.1	SNORA72|ENSG00000207067.1		MIR935			
		IGHMBP2		RAB11FIP1				KCNN3					RN7SL750P	OR4N4	SNORD56|ENSG00000200112.1	MIR548N		PSPC1		RN7SL181P	GCNT7	PDE6B	NSG2	LAPTM4B		MIR371B			
		LRP5		TM2D2				MTX1					SAP25	snoU13|ENSG00000238960.1	RN7SL865P	SNORA31|ENSG00000251802.1		LINC00350		RN7SKP125	snoU13|ENSG00000238294.1	WHSC1	RNA5SP200	U3|ENSG00000207215.1		RN7SL317P			
		NDUFV1		PPAPDC1B				MUC1					RN7SL416P	DKFZP547L112	SNORA27|ENSG00000252459.1	RN7SL132P		LINC00421		RN7SKP128	RNA5SP487	NELFA	SNORA74B	PTDSS1		ZNF813			
		NDUFS8		GOT1L1				NPR1					RN7SL161P	RN7SL400P	RN7SKP216	RNA5SP229		TUBA3C		SNORA70C	RNU4ATAC7P	SLBP	ATP6V0E1	snoU13|ENSG00000238791.1		ZNF761			
		PC		LETM2				PKLR					STAG3L5P	CT60	LHX5	snoU13|ENSG00000252706.1		RNA5SP24		LINC00474	RN7SKP184	MAEA	MIR5003	FSBP		FCAR			
		PPP1CA		HTRA4				RAB13					PILRB	NBEAP1	RN7SKP71	RN7SL505P		LINC00442		TNFSF8	RN7SL603P	PCGF3	SNORA57|ENSG00000212529.1	RNA5SP274		IL11			
		RAD9A		ADAM32				RPS27					GATS	RN7SL759P	MIR3657	RP9P		PHF2P2		ATP6V1G1	MIR3194	SPON2	C5orf50	LINC00535		KIR2DL1			
		RPS6KB2		C8orf86				S100A1					MIR4658	GOLGA6L6	ADAM1A	SNORA31|ENSG00000251999.1		FGF9		snoU13|ENSG00000238530.1	RN7SL672P	TACC3	SNORA70|ENSG00000206909.1	RN7SKP231		KIR2DL3			
		AIP						S100A13					MIR106B	snoU13|ENSG00000239083.1	U7|ENSG00000272215.1	AQP1		GJA3		MIR455	RN7SL636P	CPLX1	RN7SL339P	snoU13|ENSG00000239134.1		KIR2DL4			
		PITPNM1						SHC1					MIR93	CHEK2P2	RNA5SP373	CRHR2		GJB2		COL27A1	LINC00651	SLC26A1	snoU13|ENSG00000252387.1	MIR4661		KIR2DS4			
		MTL5						THBS3					MIR25	RN7SL584P	RN7SL387P	MIR550A1		MIPEP		FKBP15	snoU13|ENSG00000239157.1	FGFRL1	RN7SL623P	RN7SL777P		KIR3DL1			
		FGF19						TPM3					AZGP1P1	NDN	PPTC7	snoU13|ENSG00000238906.1		SGCG		FAM225A	RN7SL197P	PIGG	MIR4454	RNA5SP273		KIR3DL2			
		RCE1						ADAM15					SNORA40|ENSG00000222966.1	SNRPN	SNORD50|ENSG00000202335.1	TRIL		ZMYM2		FAM225B	KCNB1	UVSSA	KCNMB1	LINC00534		LAIR1			
		CDK2AP2						UBAP2L					CYP3A4	UBE3A	RN7SL769P	RN7SL365P		IFT88		ZNF883	SNORD12	MFSD7	LCP2	RNA5SP272		LAIR2			
		TCIRG1						DENND4B					snoU13|ENSG00000239133.1	MKRN3	RN7SL441P	EVX1		ZMYM5		INIP	SNORD12B	TMEM175	C5orf58	MMP16		CNOT3			
		KDM2A						SCAMP3					MYH16	CYFIP1	RN7SKP250	HOTTIP		SAP18		C9orf147	SNORD12C	TMEM129	MIR378E	REXO1L10P|ENSG00000255940.1		PEG3			
		CLCF1						HAX1					snoU13|ENSG00000238459.1	NPAP1	RNA5SP372	HOXA13		GJB6		RN7SL430P	ZFAS1	FAM53A	MIR585	REXO1L11P		PRKCG			
		MYEOV						PMVK					MIR3609	NIPA2	MIR619	HOTAIRM1		SACS		RNA5SP295	LINC00494	CRIPAK	MIR103A1	REXO1L10P|ENSG00000270416.1		PTPRH			
		RHOD						FAM189B					RN7SL13P	TUBGCP5	SNORA40|ENSG00000264043.2	U3|ENSG00000202233.1		LATS2		RN7SL57P	SNORD36|ENSG00000252227.1	RNF212	PANK3	snoU13|ENSG00000238566.1		RPL28			
		GAL						JTB					RN7SL478P	NIPA1	FICD	CYCS		CRYL1		MIR4668	RNA5SP486	NAT8L	FBLL1	SLC10A5		RPS9			
		SUV420H1						SLC27A3					RN7SKP104	GOLGA6L2	RNA5SP371	snoU13|ENSG00000239098.1		IL17D		UGCG	RN7SL243P	POLN	SNORA40|ENSG00000253065.1	IMPA1P		AURKC			
		CABP2						SNAPIN					RN7SL252P	HERC2P3	SNORD74|ENSG00000200897.1	RNA5SP228		MPHOSPH8		LRRC37A5P	MIR3616	C4orf48	RN7SKP60	RN7SL308P		TNNI3			
		C11orf24						C1orf43					SHFM1	GOLGA6L1	C12orf45	snoU13|ENSG00000238849.1		TNFRSF19		RNA5SP294	RN7SKP33		NUDCD2	RN7SL107P		TNNT1			
		SSH3						CHTOP					MIR591	GOLGA8I	MIR3922	SNORD65|ENSG00000212264.1		XPO4		RNY4P18	SNX21		MIR3142	SNORA20|ENSG00000206649.1		ZNF17			
		ANO1						SLC39A1					PON1	GOLGA8EP	RNA5SP370	MALSU1		MRP63		FRRS1L	RNU6ATAC38P		RN7SL295P	RN7SL41P		ZNF154			
		PPP6R3						ZBTB7B					snoU13|ENSG00000238384.1	OR4M2	HCFC2	SNORD93		TPTE2		MIR32	SPINT4		ADRA1B	snoU13|ENSG00000238595.1		NCR1			
		CABP4						DPM3					RN7SKP129	POTEB2	MIR3652	RNA5SP227		N6AMT2		ACTL7B	WFDC10A		RNU4ATAC2P	CASC9		LILRB2			
		CORO1B						UBE2Q1					GNG11	MIR4508	snoU13|ENSG00000238914.1	MIR1183		SKA3		RNA5SP293	RNA5SP485		SNORA68|ENSG00000252458.1	RNA5SP271		ZNF211			
		CARNS1						LENEP					MIR489	POTEB	U8|ENSG00000212594.1	RN7SL542P		MICU2		RN7SL659P	RBPJL		LSM11	U8|ENSG00000200191.1		TRAPPC2P1			
		LRFN4						SLC50A1					MIR653		LINC00485	SP8		SPATA13		RNA5SP292	RN7SL31P		THG1L	RN7SL19P		ZNF460			
		C11orf80						ATP8B2					RN7SL7P		RN7SL793P	SNORD56|ENSG00000200753.1		C1QTNF9B		RN7SKP77	KCNK15		RNA5SP199	snoU13|ENSG00000238450.1		LILRB1			
		TMEM134						PBXIP1					GATAD1		RNA5SP369	MIR3146				RN7SKP191	MIR3646		RN7SL439P	RNA5SP270		LILRB5			
		UNC93B1						S100A14					snoU13|ENSG00000238739.1		snoU13|ENSG00000238940.1	RN7SKP266				RNA5SP291	R3HDML		RN7SL655P	RN7SL675P		LILRB4			
		ACY3						GATAD2B					DPY19L2P4		RNA5SP368	SNORA63|ENSG00000199473.1				LINC00587	FITM2		MIR1294	RN7SKP29		LILRA1			
		MRGPRD						HCN3					SNORA67|ENSG00000207094.1		RNA5SP367	ISPD				TMEM246	RN7SL443P		RN7SL177P	RNA5SP269		LILRB3			
		MRGPRF						INTS3					snoU13|ENSG00000238587.1		snoU13|ENSG00000238800.1	ADCYAP1R1				SNORA31|ENSG00000253041.1	SCARNA15|ENSG00000252193.1		RNA5SP198	PREX2		LILRA3			
		MRPL21						TRIM46					LINC00972		SLC5A8	AHR				LPPR1	RN7SL666P		RN7SKP232	RNA5SP268		LILRA2			
		ORAOV1						FLAD1					ACHE		snoU13|ENSG00000238748.1	AMPH				RN7SKP87	ADA		RNA5SP197	SNORD87		U2AF2			
		C11orf86						AQP10					ASNS		RN7SL176P	AOAH				MSANTD3	BMP7		ZNF300P1	LINC00967		PPP6R1			
		NUDT8						PYGO2					AZGP1		RNA5SP366	AQP1				RN7SL75P	CD40		snoU13|ENSG00000239191.1	PDE7A		LILRA4			
		ANKRD13D						NUP210L					CALCR		SNORA53	CHN2				STX17	CDH4		snoU13|ENSG00000238369.1	LINC00966		ZIM2			
		TBX10						TDRD10					KRIT1		RN7SL179P	DFNA5				RN7SKP225	CEBPB		MIR378A	RN7SKP135		HSPBP1			
		TBC1D10C						SHE					CDK6		SLC9A7P1	GARS				ALG2	CHRNA4		RN7SL868P	ANGPT1		PRPF31			
		GPR152						DCST2					AP1S1		RMST	GHRHR				RN7SL794P	COL9A3		U3|ENSG00000221043.1	ATP6V1C1		UBE2S			
		MIR3163						S100A16					COL1A2		C12orf63	HNRNPA2B1				RNA5SP290	CSE1L		MIR143HG	OSGIN2		TFPT			
								CREB3L4					CUX1		C12orf55	HOXA1				ABCA1	CSTF1		RN7SKP145	CA1		EPN1			
								DCST1					CYP3A7		RN7SKP11	HOXA2				AK1	CTSZ		MIR584	CA2		ZNF580			
								KRTCAP2					CYP3A5		ELK3	HOXA3				ALAD	CYP24A1		SH3TC2	CA3		GP6			
								CRTC2					CYP51A1		RN7SL88P	HOXA4				ALDOB	EDN3		SPINK13	CALB1		ZNF581			
								MIR92B					DLD		SNRPF	HOXA5				AMBP	EEF1A2		RN7SL791P	RUNX1T1		PPP1R12C			
								MIR190B					DLX5		PGAM1P5	HOXA6				BAAT	EYA2		RNA5SP196	CDH17		EPS8L1			
													DLX6		KRT19P2	HOXA7				C5	GNAS		GPR151	COX6C		ZNF444			
													DYNC1I1		RN7SL483P	HOXA9				CCBL1	HNF4A		RN7SKP246	CRH		ZNF331			
													SLC26A3		RN7SL330P	HOXA10				CDK9	KCNG1		KCTD16	DECR1		NLRP2			
													EPHB4		RN7SKP263	HOXA11				SLC31A1	KCNQ2		RN7SL87P	DPYS		ZNF416			
													EPO		RN7SL630P	IL6				SLC31A2	KCNS1		RN7SL68P	E2F5		NAT14			
													GNB2		RN7SL737P	ITGB8				CRAT	LAMA5		PCDHGB8P	EYA1		VN1R1			
													GNGT1		UBE2N	MEOX2				CYLC2	MC3R		PCDHB18	FABP4		ZNF304			
													GPR22		snoU13|ENSG00000239073.1	NPY				DBC1	MMP9		PCDHB17	FABP5		TTYH1			
													GRM3		SNORD74|ENSG00000201502.1	PDE1C				DNM1	MYBL2		PCDHA14	GEM		ZNF471			
													AGFG2		snoU13|ENSG00000238361.1	RP9				LPAR1	MYT1		WDR55	HNF4G		USP29			
													LAMB1		snoU13|ENSG00000238865.1	SFRP4				MEGF9	NFATC2		MIR3655	IL7		CACNG8			
													LRCH4		BTG1	SP4				ENDOG	NTSR1		SNORA27|ENSG00000200235.1	IMPA1		CACNG7			
													MCM7		LUM	TWIST1				ENG	OPRL1		SNORD45|ENSG00000200051.1	EIF3E		CACNG6			
													DNAJB9		LINC00615	DNAH11				STOM	PCK1		CYSTM1	MATN2		ZNF667			
													NPTX2		RNA5SP365	TAX1BP1				FKTN	PFDN4		PURA	MYBL1		TSEN34			
													NRCAM		LINC00936	SKAP2				FPGS	PI3		TMEM173	NBN		MBOAT7			
													OCM2		KITLG	CREB5				NR5A1	PLTP		ECSCR	ODF1		ZSCAN5A			
													ORC5		RNA5SP364	NFE2L3				NR6A1	CTSA		RN7SKP64	PMP2		ZNF419			
													SERPINE1		MKRN9P	HDAC9				GLE1	PPP1R3D		RNA5SP195	POLR2K		ISOC2			
													PCOLCE		SNORA3|ENSG00000221148.1	RAPGEF5				GNG10	PSMA7		SNORA74A	PKIA		ZNF671			
													PDK4		MIR4699	SCRN1				GOLGA1	PTGIS		SNORA74|ENSG00000252213.1	PEX2		BRSK1			
													SLC26A4		MIR618	KIAA0087				GOLGA2	PTK6		RNA5SP194	RPL7		SUV420H2			
													PEX1		MIR617	ELMO1				GSN	PTPN1		RN7SL867P	RPL30		FIZ1			
													CDK14		PTPRQ	NOD1				HSPA5	RPS21		snoU13|ENSG00000238745.1	SDC2		GALP			
													ABCB1		RN7SKP261	GPNMB				TNC	SDC4		SNORD63|ENSG00000206989.1	SPAG1		ZNF628			
													ABCB4		RNA5SP363	AGR2				LCN2	SEMG1		SNORD63|ENSG00000222937.1	STK3		ZNF551			
													PIK3CG		PAWR	IGF2BP3				LMX1B	SEMG2		RN7SL682P	TCEB1		ZNF835			
													POLR2J		RN7SL696P	PPP1R17				MUSK	SRSF6		snoU13|ENSG00000238605.1	TERF1		ZNF765			
													PON2		MIR1252	NUPL2				NDUFA8	SLPI		NPY6R	KLF10		NLRP12			
													PON3		snoU13|ENSG00000238769.1	HIBADH				ODF2	SNAI1		MIR874	TPD52		MYADM			
													PRKAR2B		RN7SKP172	INMT				ORM1	SRMS		RNA5SP193	TRHR		LENG9			
													RELN		PHLDA1	FKBP9				ORM2	STAU1		FBXL21	UQCRB		RDH13			
													PSMC2		RN7SL734P	CBX3				PAPPA	STK4		TIFAB	YWHAZ		ZIM3			
													SRI		ACACB	AVL9				PDCL	AURKA		MIR4461	FZD6		LENG8			
													SRPK2		ACADS	SNX13				PBX3	TAF4		MIR4461	RIPK2		KIR3DL3			
													SYPL1		ALDH2	DPY19L1				PPP2R4	TCEA2		PCBD2	CPNE3		ZNF543			
													TAC1		APAF1	KIAA0895				PPP3R2	TFAP2C		RN7SL541P	TRPA1		COX6B2			
													TAF6		ARL1	LSM5				PPP6C	TNNC2		PPP2CA	CCNE2		OSCAR			
													TFR2		ASCL1	SOSTDC1				PSMB7	TPD52L2		SKP1	EBAG9		NLRP13			
													TRIP6		ATP2A2	KBTBD2				PSMD5	UBE2V1		snoU13|ENSG00000238796.1	MSC		NLRP8			
													VGF		ATP2B1	OSBPL3				PTGS1	YWHAB		HSPA4	KCNB2		NLRP5			
													ZAN		CMKLR1	TSPAN13				PTPN3	ZNF217		LEAP2	CYP7B1		ZNF787			
													ZNF3		COX6A1	BBS9				RAD23B	NCOA3		UQCRQ	MTFR1		ZFP28			
													ZKSCAN1		CRY1	BZW2				RGS3	BCAS1		RNA5SP192	EMC2		TMEM190			
													ZSCAN21		CSRP2	SNX10				RPL12	STX16		snoZ6|ENSG00000253067.1	HRSP12		TMC4			
													MTERF		DAO	TRA2A				SET	TNFRSF6B		HINT1	CPQ		TPM3P9			
													TFPI2		DCN	NT5C3A				SPTAN1	MATN4		RNA5SP191	NCOA2		ZNF524			
													TRRAP		EPYC	NME8				STXBP1	DPM1		RNU6ATAC10P	ARFGEF1		ZNF784			
													FZD1		DTX1	MPP6				TAL2	WISP2		KIAA1024L	POP1		NLRP4			
													BUD31		DUSP6	ANLN				TGFBR1	VAPB		MIR4633	COPS5		ZNF542			
													SGCE		HAL	CPVL				TLR4	B4GALT5		C5orf63	WWP1		ZNF582			
													PLOD3		HPD	TOMM7				TRAF1	SPATA2		RN7SKP117	STMN2		ZNF583			
													CLDN12		IGF1	EPDR1				TXN	OSBPL2		RN7SL711P	RRS1		CDC42EP5			
													AP4M1		LTA4H	FKBP14				ZFP37	ACOT8		RN7SL689P	SULF1		ZNF550			
													PMPCB		MSI1	CDCA7L				ZNF79	ATP9A		snoU13|ENSG00000239103.1	ZFPM2		ZNF579			
													ATP5J2		MVK	KLHL7				ZNF189	SGK2		snoU13|ENSG00000252295.1	HEY1		NLRP7			
													DMTF1		MYBPC1	STK31				NR4A3	ARFRP1		ADRB2	TRAM1		ZSCAN4			
													MUC12		MYF5	ANKMY2				IKBKAP	RGS19		ANXA6	LY96		NLRP11			
													ARPC1B		MYF6	TBX20				TMEFF1	SYCP2		ATOX1	SGK3		TMEM86B			
													NAMPT		MYL2	NEUROD6				CTNNAL1	WFDC2		ALDH7A1	RAD54B		ZNF549			
													AKAP9		PPP1R12A	NPVF				DPM2	ARFGEF2		BNIP1	DCAF13		SSC5D			
													RASA4		NAP1L1	HERPUD2				PRPF4	TCFL5		CAMK2A	RNF19A		ZNF547			
													SLC25A13		NFYB	GGCT				KLF4	SPINT3		CAMLG	KIAA1429		ZIK1			
													LRRC17		NOS1	EEPD1				LHX2	TOMM34		CANX	RGS22		VSTM1			
													POP7		NTS	STARD3NL				RALGPS1	SERINC3		CCNG1	PABPC1		TMEM150B			
													BET1		OAS1	FAM188B				TNFSF15	ADRM1		CD14	KCNV1		FAM71E2			
													COG5		OAS2	FAM126A				PTBP3	OGFR		CD74	STAU2		NLRP9			
													ZNHIT1		OAS3	PLEKHA8				SH2D3C	UBE2C		CDC25C	BHLHE22		RFPL4A			
													ARPC1A		P2RX4	CCDC126				RABEPK	DIDO1		CDX1	MRPS28		ZSCAN5B			
													STAG3		P2RX7	C7orf31				ZER1	PTPRT		CLTB	LRP12		ZNF530			
													CPSF4		PEBP1	AGR3				SMC2	PKIG		CSF1R	RRM2B		DNAAF3			
													DBF4		PAH	BMPER				ZBTB6	HRH3		CSF2	MTERFD1		LILRA5			
													COPS6		CDK17	PRPS1L1				NEK6	SLC9A8		CSNK1A1	PI15		ZNF773			
													DUS4L		SLC25A3	TWISTNB				ACTL7A	ADNP		CSNK1G3	ZC2HC1A		ZNF470			
													TP53TG1		PLA2G1B	JAZF1				SEC61B	ZMYND8		CTNNA1	LACTB2		ZNF749			
													PDAP1		PMCH	C7orf41				SLC27A4	SPO11		DBN1	RMDN1		ZNF772			
													LAMB4		PPP1CC	PRR15				CNTRL	PRPF6		DIAPH1	ZNF706		TARM1			
													LMTK2		PRKAB1	FERD3L				AKAP2	L3MBTL1		DOCK2	UBR5		MIR371A			
													PEG10		PSMD9	CCDC129				RPL35	SS18L1		DPYSL3	AZIN1		MIR372			
													ZKSCAN5		PTPN11	ZNRF2				DOLK	MTG2		DRD1	OTUD6B		MIR373			
													CLDN15		PXN	TMEM196				PTGR1	GMEB2		SLC26A2	GDAP1		DPRX			
													BRI3		RFC5	STEAP1B				TRIM32	TP53TG5		HBEGF	PDP1		MIR498			
													TECPR1		RFX4	C7orf71				ERP44	MOCS3		DUSP1	CNGB3		MIR520E			
													PTCD1		RPL6	ABCB5				ZBTB43	SLCO4A1		EBF1	ESRP1		MIR519E			
													FBXO24		RPLP0	FAM221A				ASTN2	STMN3		EGR1	TMEM70		MIR520F			
													STEAP1		CLIP1	MACC1				KIAA0368	SLC35C2		ETF1	OXR1		MIR519C			
													HBP1		ATXN2	GPR141				SLC44A1	SLMO2		F12	ARMC1		MIR520A			
													DNAJC2		SELPLG	NPSR1				ANGPTL2	IFT52		FABP6	UBE2W		MIR526B			
													PILRA		SYT1	AGMO				NUP188	NELFCD		FAT2	TMEM55A		MIR519B			
													PNPLA8		TBX5	MIR148A				RABGAP1	RTFDC1		FBN2	SYBU		MIR525			
													FIS1		TBX3	MIR196B				TMEM245	OSER1		FGF1	INTS8		MIR523			
													ACTL6B		HNF1A	WIPF3				CIZ1	PIGT		FGFR4	PAG1		MIR518F			
													SRRT		TDG	MIR550A2				DFNB31	RTEL1		FOXI1	C8orf44		MIR520B			
													ASB4		TMPO	LRRC72				NIPSNAP3A	SOX18		FLT4	JPH1		MIR518B			
													ADAM22		NR2C1	MIR550A3				GAPVD1	YTHDF1		GABRA1	ENY2		MIR526A1			
													ANKIB1		HSP90B1					PHF19	LIME1		GABRA6	CPA6		MIR520C			
													PUS7		TXNRD1					FBXW2	UCKL1		GABRB2	PRDM14		MIR518C			
													CROT		UNG					OR1J4	PCMTD2		GABRG2	SNX16		MIR524			
													ALKBH4		ALX1					OR2K2	MRGBP		GABRP	NECAB1		MIR517A			
													SAMD9		BRAP					LHX6	PPP4R1L		GDF9	ZBTB10		MIR519D			
													ZCWPW1		EEA1					OR1L3	RBM38		GFRA3	PLEKHF2		MIR520D			
													C7orf43		RASAL1					OR1L1	BCAS4		GLRA1	ZFAND1		MIR517B			
													PPP1R9A		PPFIA2					OR1J2	DDX27		GM2A	ZFHX4		MIR520G			
													CCDC132		MAPKAPK5					TRUB2	ZNF334		GRK6	CSPP1		MIR516B2			
													KMT2E		DENR					ST6GALNAC4	ZFP64		GPX3	BAALC		MIR526A2			
													BAIAP2L1		OASL					INVS	ARFGAP1		GRIA1	GRHL2		MIR518E			
													SLC25A40		DYNLL1					TOR2A	DOK5		NR3C1	VCPIP1		MIR518A1			
													BCAP29		SRSF9					PKN3	DBNDD2		GRM6	SLC25A32		MIR518D			
													MEPCE		GALNT4					SLC2A8	RNF114		HARS	DCSTAMP		MIR516B1			
													SLC12A9		CRADD					ST6GALNAC6	SULF2		HK3	SLCO5A1		MIR518A2			
