cytoband	11q13.3	8q24.21	8p11.23	17q12	17q23.1	20q13.2	1q21.3	12q15	6q21	15q26.3	3q26.32	1q44	19q12	10p15.1	8p11.21	6p23	10q22.3	11q14.1	12p13.33	14q21.1	11p13	4q13.3	13q34	3p25.1	19q13.42	19p13.12	5p15.33	17p11.2	
												HNRNPU											ARGLU1		PTPRH		ZDHHC11		
												RGS7											LINC00460		RPL28		LPCAT1		
												ZNF124											RNA5SP38		AURKC		CLPTM1L		
												KMO											SNORA25|ENSG00000252550.1		TNNI3		NKD2		
												EXO1											LINC00344		TNNT1		C5orf55		
												CEP170											LINC00343		ZNF17		C5orf38		
												AKT3											METTL21EP		ZNF135		IRX2		
												ZBTB18											RNY5P8		ZNF154		SLC6A19		
												SDCCAG8											LINC00283		ZNF256		SLC6A18		
												OPN3											CCDC168		ZNF211		MIR4277		
												AHCTF1											snoU13|ENSG00000238869.1		TRAPPC2P1		MIR4457		
												OR2M4											LINC00555		ZNF274		MIR4456		
												OR2L2											MIR4705		ZNF460				
												OR2T1											RNY1P2		U2AF2				
												DESI2											MIR2681		PPP6R1				
												SCCPDH											FGF14		ZIM2				
												KIF26B											LINC00411		HSPBP1				
												ZNF692											GGACT		ZNF544				
												FMN2											LINC00554		UBE2S				
												ZNF695											snoU13|ENSG00000238305.1		EPN1				
												TFB2M											SNORA25|ENSG00000201245.1		ZNF580				
												GREM2											MIR4306		GP6				
												SMYD3											RNY3P6		ZNF581				
												ZNF669											LINC00449		PPP1R12C				
												ZNF672											MIR623		ZNF586				
												SH3BP5L											RN7SKP9		EPS8L1				
												OR2L5											RN7SL60P		ZNF444				
												OR2G3											RN7SKP8		NLRP2				
												OR2G2											snoU13|ENSG00000238407.1		ZNF416				
												OR2C3											RAP2A		NAT14				
												EFCAB2											RNA5SP37		VN1R1				
												ZNF496											snoU13|ENSG00000238522.1		ZNF304				
												NLRP3											SNORD112|ENSG00000252154.1		ZNF471				
												COX20											RN7SKP7		USP29				
												OR2M5											LINC00359		ZNF667				
												OR2M3											RN7SL164P		ZSCAN18				
												OR2T12											HS6ST3		ZSCAN5A				
												OR14C36											snR65|ENSG00000251901.1		ZNF329				
												OR2T34											RNY4P27		ZNF419				
												OR2T10											RNY3P8		ISOC2				
												OR2T4											snoU13|ENSG00000238463.1		ZNF552				
												OR2T11											LINC00557		ZNF671				
												OR2B11											LINC00391		ZNF606				
												WDR64											RN7SL585P		BRSK1				
												GCSAML											RNA5SP36		SUV420H2				
												CNST											RNA5SP35		ZNF587				
												PLD5											SNORD22		FIZ1				
												C1orf100											ATP4B		GALP				
												OR2T6											COL4A1		ZNF628				
												C1orf101											COL4A2		ZNF551				
												OR2L13											DCT		ZNF835				
												OR14A16											GPR183		RDH13				
												OR6F1											EFNB2		ZIM3				
												OR2W3											ERCC5		ZNF543				
												OR2T8											F7		COX6B2				
												OR2T3											F10		NLRP13				
												OR2T29											GAS6		NLRP8				
												C1orf229											GPR18		NLRP5				
												OR11L1											ING1		ZNF787				
												OR2L8											IPO5		ZFP28				
												OR2AK2											LAMP1		C19orf18				
												OR2L3											LIG4		ZNF418				
												OR2M2											PCCA		TMEM190				
												OR2T33											DNAJC3		ZNF524				
												OR2M7											SLC10A2		ZNF784				
												OR2G6											SLC15A1		NLRP4				
												OR2T2											SOX1		ZNF542				
												OR2T5											TFDP1		ZNF582				
												OR14I1											TPP2		ZNF583				
												OR2T27											ZIC2		ZNF550				
												OR2T35											STK24		ZNF579				
												MAP1LC3C											CUL4A		NLRP7				
												OR13G1											IRS2		ZSCAN4				
												MIR3123											PROZ		NLRP11				
												MIR3124											ARHGEF7		TMEM86B				
												MIR3916											CDC16		ZNF549				
																							CLDN10		SSC5D				
																							ITGBL1		ZNF547				
																							TM9SF2		ZIK1				
																							GPC6		ZNF776				
																							MBNL2		ZSCAN1				
																							FARP1		TMEM150B				
																							ABCC4		FAM71E2				
																							TUBGCP3		NLRP9				
																							TNFSF13B		RFPL4A				
																							SOX21		ZSCAN5B				
																							RASA3		ZNF530				
																							DZIP1		DNAAF3				
																							MYO16		ZNF773				
																							ATP11A		ZNF470				
																							MCF2L		ZNF749				
																							DOCK9		ZNF772				
																							TGDS		SBK2				
																							OXGR1		SHISA7				
																							BIVM		SGK110				
																							TMCO3		ZNF587B				
																							ANKRD10		ZNF865				
																							RAB20						
																							CARKD						
																							UGGT2						
																							PCID2						
																							UPF3A						
																							KDELC1						
																							CARS2						
																							GRTP1						
																							TMTC4						
																							ABHD13						
																							ZIC5						
																							TEX30						
																							ADPRHL1						
																							TEX29						
																							SPACA7						
																							RNF113B						
																							GPR180						
																							CLYBL						
																							METTL21C						
																							NALCN						
																							DAOA						
																							CHAMP1						
																							UBAC2						
																							TMEM255B						
																							C13orf35						
																							FAM155A						
																							MIR3170						
																							MIR4502						
