cytoband	8p23.2	13q14.2	1p36.13	19p13.3	10q23.31	3p21.31	11q23.3	11p15.5	17p12	9p21.3	6q27	15q13.1	4q35.2	2q37.3	7q36.1	17q21.31	21q11.2	11q25	16q24.3	6q15	6p25.3	5q11.2	18q23	10q26.3	1p21.2	14q24.1	20p13	12p13.1	9p23	4p16.3	12q24.31	19q13.32	5q21.3	12q23.1	11q13.1	7p22.3	9q21.11	8p11.21	22q13.32	9q34.2	14q32.12	22q11.1	
			MIR4695			TMEM89	snoU13|ENSG00000238724.1	RIC8A				GOLGA8T	snoU13|ENSG00000238596.1	RN7SL204P		FZD2	MIR3687		CDH15	RN7SL183P	IRF4	RN7SL103P	MIR548AV	UTF1	snoU13|ENSG00000239111.1	C14orf169	SLC52A3	KIAA1467		CTBP1	snoU13|ENSG00000238822.1	PRKD2			MRPL49	COX19	RN7SL565P		TYMP	C9orf172	IGHD	BCL2L13	
			snoU13|ENSG00000239020.1			MIR711	ATF4P4	ATHL1				U8|ENSG00000207432.1	snoU13|ENSG00000238319.1	MSL3P1		RN7SL258P			CYBA	snoU13|ENSG00000238628.1	NQO2	7SK|ENSG00000249352.3	RNA5SP460	GLRX3	ATP5F1	RN7SL586P	TBC1D20	APOLD1		DGKQ	RN7SL534P	BBC3			ZNHIT2	FAM20C	RN7SL343P		PPARA	MIR4292	IGHG3	CECR6	
			PADI6			AMT	snosnR66	PTDSS2				ULK4P3	U3|ENSG00000252048.1	AGXT		GPATCH8			DPEP1	C6ORF165	SERPINB6	U8|ENSG00000212249.2	CYB5A	DPYSL4	PGCP1	snoU13|ENSG00000238972.1	C20orf96	GSG1		GAK	snoU13|ENSG00000238895.1	STRN4			CAPN1	GNA12	FAM95B1		MAPK11	LCN10	IGHG1	CECR5	
			MIR3972			APEH	C11orf34	SCGB1C1				RN7SL673P	FAM92A1P2	KIF1A		U3|ENSG00000221496.1			FANCA	RN7SKP209	SERPINB9	snoU13|ENSG00000238400.1	MBP	VENTX	DENND2D	RN7SL683P	SRXN1	LOH12CR1		IDUA	MIR3612	TMEM160			CFL1	GPER	SNORA70|ENSG00000252724.1		MAPK12	LCN6	IGHA1	CECR2	
			U1|ENSG00000228549.2			RHOA	SDHD	NLRP6				GOLGA8J	RN7SKP67	BOK		RN7SL507P			GALNS	RN7SL643P	TUBB2A	SNORA76|ENSG00000252904.1	NFATC1	CALY	RNA5SP54	SNORD56B	DEFB129	MIR614		MYL5	TMEM132C	PNMAL1			CTSW	LFNG	RN7SL763P		SBF1	SNHG7	IGHG2	CECR1	
			MST1L			SLC25A20	RNA5SP351	ANO9				snoZ278	RN7SKP13	COL6A3		U3|ENSG00000221044.1			GAS8	SNHG5	RIPK1	RN7SL169P	ZNF236	TTC40	CYMP	RN7SL77P	DEFB132			PDE6B	LINC00508	PNMAL2			LTBP3	NUDT1	FAM74A6		WNT7B	FAM69B	IGHG4	SLC25A18	
			ESPNP			CISH	HSPB2	B4GALNT4				GOLGA6L7P	LINC00290	DTYMK		C17orf105			MC1R	CYB5R4	PRPF4B	HTR1A	CTDP1	LRRC27	SNORA25|ENSG00000200536.1	ADAM20P1				PCGF3	LINC00507	FKRP			MEN1	PDGFA	FAM74A2		CELSR1	MIR126	IGHE	GAB4	
			CROCCP2			COL7A1	ALG9	IFITM5				WHAMMP2	SNORD65|ENSG00000212191.1	GBX2		LINC00910			MVD	RWDD2A	ECI2	CKS1B|ENSG00000268942.1	TSHZ1	GPR123	ALX3	SYNJ2BP				SPON2	LINC00944	GNG8			MAP3K11	PRKAR1B	RN7SL422P		PPP6R2	U3|ENSG00000252440.1	IGHA2	CCT8L2	
			U1|ENSG00000233421.3			DAG1	ALG9					RN7SL719P	RNA5SP173	GPC1		LINC00854			CHMP1A	SNORA70|ENSG00000206886.1	FAM50B	KIF2A	TXNL4A	KNDC1	RNU6V	ADAM21P1				CPLX1	LINC00943	DACT3			OVOL1	MAFK	FAM74A1		ZBED4	MIR4673	CRIP1	XKR3	
			CROCCP3			CELSR3	RN7SKP273					GOLGA8M	snoU13|ENSG00000252388.1	GPR35		SNORA40|ENSG00000212149.1			RPL13	RNA5SP210	EXOC2	RN7SKP157	ADNP2	MTG1	GNAI3	SNORA11|ENSG00000221060.1				SLC26A1	LINC00939	MIR3191			PPP2R5B	MAD1L1	RN7SL462P		SCO2	DNLZ	C14orf79		
			C1orf134			GNAI2	SIK2					RN7SL829P	RNA5SP172	HDLBP		RNY4P2			SPG7	CGA	WRNIP1	FKSG52	KCNG2	SYCE1	KIAA1324	SLC10A1				FGFRL1	TMEM132B	PPP5D1			PYGM	EIF3B	FAM74A5		PKDREJ	DKFZP434A062	LINC00638		
			ANO7P1			GPX1	RNA5SP350					RN7SL238P	SLC25A4	NDUFA10		G6PC			CDK10	CNR1	DUSP22	MIR582	TIMM21	PRAP1	SCARNA2	CCDC177|ENSG00000267909.1				PIGG	BRI3BP				MAP4K2	ADAP1	RN7SL640P		RABL2B	MIR4669	ZBTB42		
			C1orf64			HYAL1	SNORD39|ENSG00000264997.1					GOLGA8F	CASP3	SEPT2		AOC4P			VPS9D1	EPHA7	SLC22A23	GAPT	ZNF407	ZNF511	TMEM167B	CCDC177|ENSG00000255994.1				MFSD7	RPL22P19				RELA	IQCE	FAM201A		GRAMD4	RXRA	C14orf144		
			snoU13|ENSG00000238818.1			IMPDH2	RNA5SP349					APBA2	DCTD	PDCD1		CNTD1			PIEZO1	GABRR1	FOXQ1	snoU13|ENSG00000238899.1	CNDP2	PWWP2B	TAF13	ERH				TMEM175	DNAH10OS				DPF2	SUN1	PGM5		MLC1	RNU6ATAC	RN7SL634P		
			DDI2			LAMB2	APOA1					TJP1	F11	PPP1R7		CCR10			TUBB3	GABRR2	HUS1B	snoU13|ENSG00000238717.1	PQLC1	PAOX	SPATA42	RN7SL224P				RNF212	EIF2B1				SIPA1	WIPI2	ZNF658		MAPK8IP2	LINC00094	LINC00637		
			AGMAT			MST1	APOA4					HERC2	ACSL1	SPP2		HSD17B1			PRDM7	HTR1E	PXDC1	RNU6ATAC2P	NETO1	EBF3	NBPF5P	RN7SL108P					SNORA9|ENSG00000206897.1				TM7SF2	INTS1	SPATA31A7		PLXNB2	FAM163B	SNORD51|ENSG00000202275.1		
			SCARNA21|ENSG00000251866.1			MST1R	APOC3					FAM189A1	FAT1	PER2		MIR5010			TCF25	ME1	FAM217A	RNA5SP185	PARD6G	TCERG1L	SLC25A24P1	RN7SL706P					SNRNP35				SF1	SNX8	CNTNAP3		BRD1	SNORD36C	APOPT1		
			C1orf195			PFKFB4	FXYD2					NDNL2	FRG1	LRRFIP1		MIR548AT			CPNE7	NT5E	MYLK4	RNA5SP184	CNDP1	FUOM	RN7SKP285	RN7SL213P					RNA5SP375				ZFPL1	FTSJ2	ANKRD20A1		TBC1D22A	SNORD36A	SNORA28		
			SCARNA11|ENSG00000253085.1			PRKAR2A	CD3D					CHRFAM7A	ING2	HDAC4		AOC2			IL17C	PGM3	TUBB2B	snoU13|ENSG00000238326.1	FAM69C	JAKMIP3	snoU13|ENSG00000238296.1	U3|ENSG00000252792.1					RN7SL133P				FOSL1	GET4	CBWD5		FAM19A5	SNORD36B	LINC00605		
			RNA5SP41			QARS	CD3E					ARHGAP11B	IRF2	FARP2		ARL4D			ANKRD11	MAP3K7	PSMG4	RNA5SP183	CBLN2	STK32C	SCARNA16|ENSG00000252765.1	RN7SL369P					MIR4304				FIBP	CYP2W1	FOXD4L3		NCAPH2	SNORD24	LINC00677		
			PRAMEF14			SEMA3F	CRYAB					GOLGA8G	KLKB1	ARL4C		ATP6V0A1			TRAPPC2L	TPBG	C6orf201	MIR5687	FBXO15	FRG2B	DPH5	ATP6V1D					HCAR1				NRXN2	HEATR2	FOXD4L4		GTSE1	ABO	snoU13|ENSG00000238853.1		
			PRAMEF18			TCTA	DLAT					HERC2P9	MTNR1A	RAMP1		BRCA1			DEF8	RNGTT	MIR4645	MIR449C	LINC00908	SPRN	MIR553	MIR4706					SNORA9|ENSG00000252192.1				NAALADL1	CHST12	SPATA31A6		MOV10L1	snoU13|ENSG00000238657.1	RN7SL546P		
			C1orf158			UBA7	DRD2						SORBS2	STK25		FMNL1			DBNDD1	TBX18		MIR449B	ATP9B	MIR202	LPPR5	FNTB					ZCCHC8				KCNK7	RADIL	FAM74A4		TTC38	CELP	snoU13|ENSG00000239061.1		
			snoU13|ENSG00000238771.1			USP4	FDX1						DUX4	CAPN10		CRHR1			CDT1	FHL5		MIR449A	LINC00909	MIR378C	RN7SKP270	ACTN1					MLXIP				RASGRP2	PAPOLB	ANKRD20A3		MIOX	GTF3C4	RN7SL472P		
			CAPZB			UQCRC1	HTR3A						FAM149A	PASK		DHX8			SPIRE2	SNAP91		GPX8	HSBP1L1		RN7SL831P	ACYP1					BCL7A				CDC42EP2	RBAK	ANKRD20A2		TRMU	SNORA67|ENSG00000212395.1	LINC00524		
			CASP9			IFRD2	IL10RA						CLDN22	ATG4B		DUSP3			CENPBD1	SYNCRIP		GZMK	C18orf63		ALG14	ARG2					ORAI1				KAT5	MICALL2	FAM27A		PANX2	RN7SL328P	U3|ENSG00000206761.1		
			CDA			MAPKAPK3	IL18						CDKN2AIP	SH3BP4		ETV4			ZNF276	SLC35A1		TRIM23			snoU13|ENSG00000238389.1	ZFP36L1					SNORA70|ENSG00000201945.1				SSSCA1	TTYH3	SPATA31A2		CERK	SNORD62B	MEG9		
			CLCNKA			HYAL3	NCAM1						TENM3	SNED1		EZH1			RNF166	FUT9		CCNB1			RN7SL440P	DLST					GATC				EHD1	PSMG3	SPATA31A4		CRELD2	SNORD62A	MIR369		
			CLCNKB			HYAL2	NNMT						LRP2BP	TRAF3IP1		GFAP			SPATA2L	PNRC1		CDK7			ARHGAP29	EIF2S1					RPS27P25				CCDC85B	C7orf50	CBWD6		ADM2	PRRC2B	MIR377		
			DDOST			BSN	PAFAH1B2						STOX2	ANO7		GRN			SPATA33	KIAA1009		ERCC8			GCLM	FOS					MIR4498				ATG2A	CARD11	SPATA31A1		TRABD	SNORA31|ENSG00000252582.1	MIR485		
			EPHA2			CACNA2D2	POU2AF1						KIAA1430	PRLH		IFI35			ZC3H18	ANKRD6		GTF2H2			DNTTIP2	FUT8					snoU13|ENSG00000272464.1				FAM89B	ZFAND2A	FOXD4L6		HDAC10	snoU13|ENSG00000238298.1	MIR134		
			HTR6			IP6K1	PPP2R1B						TRAPPC11	THAP4		ITGA2B			ZNF778	DOPEY1		GZMA			RNA5SP53	GPX2					MIR1178				SAC3D1	GPR146	FOXD4L5		SHANK3	RN7SL665P	MIR382		
			MFAP2			RBM6	PTS						MLF1IP	ANKMY1		NBR1			ACSF3	ZNF292		IL6ST			DR1	LTBP2					RN7SKP197				SNX15	AMZ1	FAM27D1		TUBGCP6	HMCN2	MIR381HG		
			NBL1			RBM5	RDX						WWC2	SCLY		MAPT			LINC00304	MDN1		CD180			RN7SKP123	MAX					RN7SL508P				EFEMP2	TMEM184A	SPATA31A3		LMF2	ASB6	MIR376A1		
			PAX7			TRAIP	SCN2B						SNX25	ASB1		ADAM11			SNAI3	UFL1		MAP1B			RN7SL692P	MAP3K9					SNORA38|ENSG00000201042.1				CDC42BPG	BRAT1	SPATA31A5		KLHDC7B	LINC00963	MIR376C		
			PLA2G2A			ARIH2	SCN4B						ZFP42	HJURP		MEOX1			CTU2	ORC3		MAP3K1			SNORA51|ENSG00000207022.1	ALDH6A1					RNA5SP374				SLC22A11	SDK1	CBWD7		C22orf34	RN7SL159P	MIR380		
			RSC1A1			NPRL2	SDHD						ENPP6	HES6		MPP2			PABPN1L	IBTK		NAIP			SNORA66|ENSG00000207523.1	PGF					ACADS				SCYL1	FOXK1	FAM74A3		FLJ27365	C9orf106	MIR299		
			SDHB			USP19	TAGLN						RWDD4	ACKR3		MPP3				NDUFAF4		PDE4D			SNORA66|ENSG00000251795.1	PIGH					SCARB1				MUS81	MMD2	CNTNAP3B		LINC00898	ABCA2	MIR379		
			ZBTB17			CYB561D2	ZBTB16						CCDC111	GAL3ST2		NAGLU				UBE2J1		PIK3R1			SNORD21	PSEN1					COX6A1				FRMD8	MIR4656	ANKRD20A4		IL17REL	ABL1	SNORD113|ENSG00000222185.1		
			PRDM2			TMEM115	HTR3B						TRIML2	RAB17		NMT1				AKIRIN2		PMCHL2			RN7SL824P	ABCD4					STX2				RNASEH2C		FOXD4L2		MIRLET7A3	ASS1	SNORD112|ENSG00000252009.1		
			ALDH4A1			WDR6	ZW10						CCDC110	TRPM8		NSF				FAM46A		RAD17			RPAP2	RAD51B					GOLGA3				SYVN1		FAM27E3		MIRLET7B	C8G	SNORD113|ENSG00000222095.1		
			CROCC			RASSF1	UBE4A						TRIML1	MLPH		PPY				RARS2		SMN1			ACTBP12	SRSF5					GTF2H3				CDCA5		FAM27C		PIM3	CACNA1B	SNORD113|ENSG00000201710.1		
			PDPN			TUSC2	RBM7						ANKRD37	IQCA1		PYY				SMIM8		SMN2			RN7SL235P	SLC8A3					HPD				BATF2		FAM27B		ODF3B	ENTPD2	SNORD113|ENSG00000201036.1		
			PADI2			NAT6	MPZL2						HELT	C2orf54		RPL27				LYRM2		TAF9			RN7SL653P	SPTB					MMP17				SLC22A12		MIR1299		SYCE3	CEL	SNORD113|ENSG00000201500.1		
			CTRC			GMPPB	ATP5L						C4orf47	ILKAP		SLC4A1				SNX14		SERF1A			BARHL2	DPF3					MSI1				GPHA2		MIR4477A		MIR3201	COL5A1	SNORD113|ENSG00000200150.1		
			SPEN			C3orf18	CEP164						DUX4L4	ING5		STAT3				RRAGD		PPAP2A			U3|ENSG00000199666.1	NUMB					P2RX4				TIGD3				MIR3619	CRAT	SNORD112|ENSG00000251918.1		
			EMC1			ZMYND10	SIK3						FRG2	AGAP1		STAT5A				BACH2		HSPB3			RN7SKP272	ADAM21					P2RX7				EHBP1L1				MIR3667	DBH	SNORD112|ENSG00000252144.1		
			PLEKHM2			HEMK1	BACE1						DUX4L7	TWIST2		MLX				C6orf164		CARTPT			snoU13|ENSG00000239176.1	ADAM20					PLA2G1B				SNX32				MIR4763	SARDH	SNORD112|ENSG00000251949.1		
			OTUD3			IP6K2	CADM1						DUX4L6	NEU4		TUBG1				MANEA		CWC27			GBP1P1	DCAF5					POLE				C11orf85				MIR4535	TOR1A	SNORD112|ENSG00000252873.1		
			KAZN			NCKIPSD	REXO2						DUX4L5	MTERFD2		UBTF				GPR63		CCNO			GBP6	EIF2B2					PRKAB1				SLC25A45					FCN1	SNORD112|ENSG00000251769.1		
			DNAJC16			P4HTM	TIMM8B						DUX4L3	UBE2F		RND2				SPACA1		PLK2			RN7SL583P	PNMA1					PSMD9				SPDYC					FCN2	MEG8		
			UBR4			QRICH1	SIDT2						DUX4L2	OTOS		CNTNAP1				GJA10		ESM1			RNA5SP52	RGS6					PXMP2				PCNXL3					FUT7	MIR433		
			ATP13A2			DALRD3	FXYD6						CLDN24	MYEOV2		AOC3				UBE3D		ADAMTS6			RNA5SP51	KIAA0247					PXN				MIR192					RAPGEF1	MEG3		
			PADI4			RNF123	C11orf71						MIR1305	OR6B3		BECN1				MRAP2		MRPS27			SNORD81|ENSG00000199934.1	AREL1					RPLP0				NEAT1					GRIN1	RN7SKP92		
			SZRD1			CCDC71	BTG4						MIR3945	DUSP28		EFTUD2				KLHL32		PPWD1			C1orf52	MED6					CLIP1									LCN1	RN7SL523P		
			HSPB7			SLC26A6	NXPE4						MIR4455	ESPNL		PLEKHM1				RIPPLY2		SKIV2L2			CTBS	GPHN					SFSWAP									NOTCH1	YY1		
			PADI1			CAMKV	TTC12							AQP12A		LRRC37A				PM20D2		PART1			SPATA1	VTI1B					HNF1A									PAEP	DEGS2		
			HP1BP3			NICN1	C11orf57							KLHL30		HDAC5				SRSF12		DIMT1			RPF1	BATF					UBC									PPP2R4	MIR342		
			CELA2B			MON1A	TEX12							OR6B2		GJC1				C6orf165		IPO11			UOX	NPC2					ZNF10									PTGDS	CCNK		
			MRTO4			UCN2	DSCAML1							ASB18		PSME3				PRSS35		DHX29			SNORA2|ENSG00000199959.1	ACOT2					ZNF26									RALGDS	U6|ENSG00000272439.1		
			PADI3			LSMEM2	ARHGAP20							PRR21		NBR2				C6orf163		DDX4			ABCA4	TMED10					ZNF84									RPL7A	RN7SL714P		
			FBXO42			KLHDC8B	USP28							AQP12B		RAMP2				MMS22L		SGTB			ADORA3	PCNX					CDK2AP1									SNAPC4	RN7SL710P		
			RNF186			CCDC36	C11orf1							D2HGDH		VAT1				GJB7		DEPDC1B			AGL	TTLL5					ULK1									SURF1	LINC00618		
			FBLIM1			AMIGO3	TMPRSS5							MIR4269		HEXIM1				MIR2113		BDP1			AMPD1	ZFYVE26					DENR									SURF2	RN7SKP108		
			PQLC2			CDHR4	BCO2							MIR4786		C1QL1				MIR4464		ERBB2IP			AMPD2	TTC9					OASL									SURF4	snoU13|ENSG00000238776.1		
			TMEM51			FAM212A	TMPRSS13									RUNDC3A				MIR4643		NLN			AMY1A	PLEKHG3					DYNLL1									MED22	DKFZP434O1614		
			ARHGEF10L			MIR191	BUD13									FAM215A						ZSWIM6			AMY1B	SIPA1L1					SRSF9									SURF6	C14orf132		
			CAMK2N1			MIR425	DIXDC1									TUBG2						MCCC2			AMY1C	DCAF4					HCAR3									TRAF2	LINC00617		
			NBPF1			ARIH2OS	ZC3H12C									COA3						CENPK			AMY2A	PLEK2					HIP1R									TSC1	GLRX5		
			NECAP2			C3orf84	FDXACB1									PSMC3IP						SLC30A5			AMY2B	MLH3					PIWIL1									TTF1	SCARNA13		
			RCC2			MIR4271	C11orf52									SOST						CENPH			RHOC	COQ6					CABP1									VAV2	SNHG10		
			KIF17			MIR4787	APOA5									ARL17A						GPBP1			ATP1A1	FCF1					NCOR2									BRD3	MIR4506		
			CELA2A				C11orf93									SLC25A39						ANKRD55			BRDT	RDH11					KNTC1									NUP214	SLC24A4		
			PLA2G2F				PIH1D2									HIGD1B						PTCD2			CAPZA1	COX16					MLEC									LHX3	NDUFB1		
			PINK1				NXPE1									ATXN7L3						ELOVL7			CASQ2	ZFYVE1					RNF10									GFI1B	U3|ENSG00000200042.1		
			PRAMEF1				NXPE2									WNK4						TRAPPC13			CD2	EXD2					MPHOSPH9									SSNA1	RN7SL506P		
			PRAMEF2				AMICA1									C17orf53						NDUFAF2			CD53	VRTN					CAMKK2									EDF1	SNORA11B		
			EFHD2				LAYN									TMUB2						MRPS36			CD58	SLC39A9					ZNF268									FUBP3	LINC00642		
			RSG1				ANKK1									ACBD4						SNX18			CHI3L2	FLVCR2					TMED2									GTF3C5	RN7SKP255		
			MUL1				RNF214									DCAKD						RAB3C			CLCA1	GPATCH2L					GCN1L1									MED27	RN7SKP107		
			TAS1R2				C11orf53									PLEKHH3						SETD9			CNN3	YLPM1					RAB35									PTGES	KCNK10		
