cytoband	9p21.3	9p23	13q12.11	1p13.1	22q13.32	4q34.3	8p23.2	21q11.2	15q11.2	12p13.2	16q23.1	18q21.32	9q21.11	6q26	19q13.33	10p15.3	19p13.3	5q12.1	Xp22.2	11q25	17p13.3	2q22.1	11p15.5	16q24.3	14q32.33	19p13.2	5q31.1	13q34	12q24.33	3q29	6q14.3	1p36.13	10q26.3	18q23	8p11.21	12q12	11q23.1	15q15.1	3p21.31	3q11.1	20p13	4p16.3	20q13.12	16p13.3	4q22.1	3p26.2	
				RNA5SP55	SHANK3	MTNR1A			RNA5SP391	SCARNA11|ENSG00000252727.1		MALT1	ANKRD20A3		EMP3					SNX19	OR1G1		NAP1L4	ZCCHC14	RN7SL472P		MIR5706		MLXIP	MIR548AQ	RN7SKP211	RN7SL857P	PAOX	CNDP1			CXCR5	ANP32AP1	RNA5SP131		CSNK2A1	ABCA11P	SNORD112|ENSG00000252434.1	SSTR5	CISD2	RN7SL147P	
				MIR548AC	TUBGCP6	VEGFC			LINC00929	FAM86FP		POLI	ANKRD20A2		FCGRT					MIR4697	SCARF1		SLC22A18	CPNE7	LINC00524		snoU13|ENSG00000239011.1		BCL7A	SENP2	POPDC3	snoU13|ENSG00000238538.1	EBF3	DSEL			DDX6	GJD2	SEMA3B		DEFB128	MIR571	RN7SL194P	TPSAB1	snoU13|ENSG00000238948.1	SLC6A11	
				ATP1A1OS	LMF2	SORBS2			SNORA48|ENSG00000212604.1	FAM66C		NEDD4L	FAM27A		FLT3LG						RPH3AL		POLR2L	IL17C	U3|ENSG00000206761.1		DTWD2		ORAI1	snoU13|ENSG00000239146.1	LINC00577	RN7SL24P	TCERG1L	FAM69C			TTC36	SNORA18|ENSG00000252425.1	SLC38A3		DEFB127	ZNF141	RN7SL680P	UBE2I	RN7SL728P	LINC00606	
				U3|ENSG00000221040.1	KLHDC7B	DUX4			MIR4715	NANOGP1		WDR7	SPATA31A2		FTL						SGSM2		PSMD13	ANKRD11	MEG9		ARL14EPL		SNORA70|ENSG00000201945.1	SNORD66|ENSG00000212158.1	SNORA33|ENSG00000202283.1	RN7SL532P	FUOM	CBLN2			RN7SL86P	SLC12A6	GNAT1		DEFB126	ZNF732	RN7SL116P	NPRL3	MIR1255A	MIR885	
				SNORA42|ENSG00000207502.1	C22orf34	FAM149A			RNA5SP390	A2M		PIGN	SPATA31A4		FUT1						PRPF8		RNH1	TRAPPC2L	MIR369		AP3S1		GATC	MIR1224	snoU13|ENSG00000238999.1	MIR3115	JAKMIP3	FBXO15			CD3G	TMCO5B	MIR566		DEFB125	ZNF876P	RN7SKP173	AXIN1	ADH1B	GHRLOS	
				RN7SL420P	LINC00898	CLDN22			ATP10A	APOBEC1		CDH20	CBWD6		FUT2						RAP1GAP2		MRPL23	KLHDC4	MIR377		RN7SKP89		RPS27P25	CYP2AB1P	PRDM13	MIR4684	STK32C	GTSCR1			MPZL3	SNORD77|ENSG00000212415.1	RN7SL217P		ADRA1D	ZNF718	ARHGAP40	RGS11	PCNAP1	LINC00852	
				RN7SL432P	IL17REL	NEIL3			SNORD109B	ARHGDIB		RAX	SPATA31A1		GRIN2D						CLUH		TALDO1	DEF8	MIR485		RNU4ATAC13P		MIR4498	SNORA4|ENSG00000251730.1	TSTD3	LINC00339	FOXI2	DOK6			TMPRSS4	snoU13|ENSG00000238342.1	MIR5193		JAG1	ZNF595	MIR548O2	CACNA1H	MIR3684	snoU13|ENSG00000238345.1	
				DENND2C	PIM3	CDKN2AIP			SNORD115|ENSG00000212428.1	C3AR1		CXXC1	FOXD4L6		ARHGAP35						SMG6		TH	BANP	MIR134		ZRSR1		snoU13|ENSG00000272464.1	SNORA63|ENSG00000199363.1	RN7SL509P	RN7SL186P	FRG2B	LINC00908			SCARNA11|ENSG00000252992.1	RN7SL286P	RNA5SP130		AVP	ADD1	SNORA60	BAIAP3	EIF4E	VHL	
				BCL2L15	ODF3B	TENM3			SNORD109A	CD69		ST8SIA3	FOXD4L5		GYS1						OR1A2		TSPAN4	JPH3	MIR382		SRP19		MIR1178	SNORA81|ENSG00000253092.1	RN7SL797P	RN7SL768P	SPRN	ATP9B			PCSK7	RN7SL539P	C3orf62		BFSP1	ADRA2C	SNORA71|ENSG00000201811.1	RHBDL1	RN7SKP28	snoU13|ENSG00000238642.1	
				LRIG2	SYCE3	LRP2BP			SNORD108	CDKN1B		MEX3C	FAM27D1		HRC						GEMIN4		TNNI2	DBNDD1	MIR381HG		FLJ11235		RN7SKP197	SNORA63|ENSG00000201229.1	SNORA18|ENSG00000252249.1	RN7SL386P	MIR202	LINC00909			RNY4P6	GOLGA8O	RN7SL182P		BMP2	ATP5I	SNORA71D	PIGQ	RNA5SP164	CIDECP	
				snoU13|ENSG00000238975.1	MIR3201	STOX2			SNORD64|ENSG00000270704.2	CREBL2		ZCCHC2	SPATA31A3		PRMT1						GLOD4		TNNT3	CDT1	MIR376A1		SNORA13		RN7SL508P	LINC00888	U3|ENSG00000221455.1	RN7SL421P	FAM196A	HSBP1L1			ZNF259	U8|ENSG00000206987.1	NDUFAF3		CDC25B	CRMP1	SNORA71C	SYNGR3	RN7SKP248	EMC3	
				WNT2B	MIR3667	KIAA1430			SNHG14	PHC1		ZNF532	SPATA31A5		IRF3						INPP5K		PHLDA2	MAP1LC3B	MIR376C		RN7SKP57		SNORA38|ENSG00000201042.1	RNA5SP151	U3|ENSG00000200492.1	MIR1256	MIR378C	C18orf63			snoU13|ENSG00000238625.1	ULK4P1	MIR4793		CENPB	CTBP1	SNORA71A	RAB11FIP3	GPRIN3	LHFPL4	
				snoU13|ENSG00000238761.1	MIR4535	TRAPPC11			SNURF	EMP1		ELAC1	CBWD7		KCNA7						RNMTL1		ZNF195	SPIRE2	MIR380		CAMK4		RNA5SP374	AHSG	RN7SL415P	UBXN10	LINC00601	MIR5011			LINC00900	RN7SL185P	TMEM89		CHGB	DGKQ	SNORA71B	IFT140	RN7SKP244	SNORA43|ENSG00000199815.1	
				snoU13|ENSG00000239111.1		MLF1IP			snoU13|ENSG00000238615.1	EPS8		KIAA1468	FAM74A3		KCNJ14						VPS53		RASSF7	CENPBD1	MIR299		SNORA51|ENSG00000207177.1		HRK	APOD	RN7SKP110	PLA2G2C					snoU13|ENSG00000239153.1	GOLGA8K	MIR711		FKBP1A	DRD5	SNHG17	TELO2	RNU6ATAC31P	LINC00312	
				ATP5F1		WWC2			PWRN1	ETV6		CCDC68	CNTNAP3B		LHB						TSR1		IFITM1	ZNF276	MIR379		MIR548F3		MAP1LC3B2	BCL6	CASP8AP2	PLA2G2D					ACA59|ENSG00000252870.1	CHRNA7	RN7SL321P		GNRH2	EVC	RN7SL237P	NUBP2	IBSP	RNU4ATAC17P	
				PGCP1		SNX25			PWRN2	GPR19		MRO	ANKRD20A4		LIG1						SRR		BRSK2	RNF166	SNORD113|ENSG00000222185.1		TMEM232		LINC00173	BDH1	snoU13|ENSG00000238747.1	PLA2G5					snoU13|ENSG00000238724.1	SNORA18|ENSG00000206849.1	MIR2115		IDH3B	FGFR3	RN7SKP185	MSLN	snoU13|ENSG00000238652.1	RN7SL553P	
