cytoband	3q26.33	8p11.23	11q13.3	8q24.21	4q12	7p11.2	2p16.1	5p15.33	9p13.3	19q13.2	19q12	1q21.2	20q11.21	22q11.21	2q31.2	15q26.3	7q21.2	12q15	17q25.1	5p12	18q11.2	12p13.33	13q34	6q12	14q13.3	6p12.1	Xq28	18p11.32	14q32.33	20p12.2	
							PUS10	SLC9A3	NPR2	RYR1		LINGO4	ID1	SCARNA17|ENSG00000252020.1		LINS	CDK6	IFNG	snoU13|ENSG00000238418.1	SNORA57|ENSG00000212567.1		FAM138D	F7		PTCSC3	GFRAL	RN7SL742P	THOC1	IGHJ3		
							MIR4432	TERT	TESK1	DPF1		CELF3	TPX2	SCARNA18|ENSG00000252314.1		RNA5SP402	CYP51A1	LYZ	MYO15B	SNORA63|ENSG00000199552.1		FOXM1	F10		FOXA1		RN7SL697P	CLUL1	IGHJ4		
								TRIP13	TLN1	KCNK6		MIR554	REM1	RN7SKP63		RN7SL484P	GNGT1	MDM2	RN7SL573P	LINC00604		NINJ2	GAS6		PAX9		LAGE3	ENOSF1	IGHJ5		
								PDCD6	TPM2	SPINT2		SNORA44	HM13	FAM230C		DKFZP779J2370	PEX1	CNOT2	MIR3615	LINC00603		RAD52	LAMP1		MBIP		SNORA70|ENSG00000207165.1	COLEC12	IGHJ6		
								SLC12A7	RECK	MAP4K1		RNY4P25	PDRG1	GGT2		MIR4714	MTERF	PTPRB	CD300LD	WDR70		KDM5A	TFDP1		MIPOL1		TEX28P1	C18orf56	IGHM		
								TPPP	RUSC2	SIPA1L3		RN7SL444P	COX4I2	FAM230B		ALDH1A3	TFPI2	PTPRR	GPRC5C	RN7SL37P		SLC6A12	CUL4A		SFTA3		OPN1MW		IGHD		
								EXOC3	CREB3	EIF3K		MLLT11	MYLK2	POM121L7		IGF1R	AKAP9	RAP1B	RNA5SP448	RNA5SP181		SLC6A13	PROZ		LINC00609		TEX28P2		IGHG3		
								CEP72	UNC13B	CATSPERG		SNORA40|ENSG00000253047.1	DEFB118	BCRP2		MEF2A	BET1	YEATS4	LINC00469	LMBRD2		TEAD4	RASA3				NAA10		IGHG1		
								AHRR	SPAG8	C19orf33		RN7SL600P	DUSP15	P2RX6P		PCSK6	ANKIB1	CCT2	SSTR2	U3|ENSG00000201368.1		TULP3	TMCO3				LCA10		IGHA1		
								BRD9	SIT1	WDR87		RN7SL473P	TTLL9	P2RX6		SNRPA1	SAMD9	FRS2	SCARNA24|ENSG00000252274.1	BRIX1		TSPAN9	PCID2				SNORD36|ENSG00000251846.1		IGHG2		
								ZDHHC11	TMEM8B	YIF1B		C1orf138	DEFB115	RN7SL389P		CHSY1	CCDC132	CPSF6	RN7SKP180	C1QTNF3		ERC1	GRTP1				RN7SL687P		IGHG4		
								CLPTM1L	OR2S2	PPP1R14A		LINC00568	DEFB116	POM121L4P		SYNM	RBM48	KCNMB4	LINC00511	C6		ITFG2	ADPRHL1				RN7SL667P		IGHE		
								NKD2	GBA2	RASGRP4		snoU13|ENSG00000238526.1	DEFB119	SMPD4P1		OR4F4	SAMD9L	IL22	AANAT	C7		WNK1	TMEM255B				snoU13|ENSG00000239037.1		IGHA2		
								C5orf55	FAM214B	ZNF573		RN7SL480P	DEFB121	RN7SL812P		VIMP	HEPACAM2	IL26	ACOX1	C9		ADIPOR2					PNMA6B		CRIP1		
								SLC6A19	HINT2	FAM98C		OTUD7B	DEFB123	USP41		TTC23	FAM133B	MDM1	BIRC5	DAB2		WNT5B					PNMA6D		C14orf79		
								SLC6A18	ARHGEF39	CAPN12		HIST2H3A	DEFB124	FAM230A		LRRK1	LRRD1	NUP107	CDK3	FYB		RHNO1					PNMA6A		LINC00638		
								MIR4457	ATP8B5P	GGN		HIST2H2AA3	FRG1B	RN7SKP131		TM2D3	MIR4652	RAB3IP	EVPL	GDNF		NRIP2					RN7SL190P		ZBTB42		
								MIR4456	CCDC107	LGALS7B		HIST2H3C	MIR663A	SCARNA18|ENSG00000252024.1		ARRDC4		BEST3	FDXR	GHR		CCDC77					CETN2		C14orf144		
									FAM221B			FAM72C	MIR3193	SCARNA17|ENSG00000252571.1		LINC00923		LRRC10	FOXJ1	HMGCS1		CACNA2D4					CSAG2		RN7SL634P		
									OR13J1			FCGR1C		snoU13|ENSG00000271796.1		TARSL2			GALK1	IL7R		FBXL14					CSAG4		LINC00637		
									HRCT1			RNA5SP59		PI4KAP1		LRRC28			GRB2	LIFR		DCP1B					MAGEA2B		SNORD51|ENSG00000202275.1		
									MSMP			NBPF15		GGTLC3		ASB7			GRIN2C	OXCT1		B4GALNT3					CSAG3		APOPT1		
									FAM166B			RNA5SP58		MIR1286		LYSMD4			H3F3B	PRKAA1		IQSEC3					GABRQ		SNORA28		
												NBPF24		SNORA77|ENSG00000264346.1		PGPEP1L			ICT1	PRLR		LRTM2					MIR452		LINC00605		
												RN7SL261P		MIR1306		ADAMTS17			ITGB4	PTGER4		MIR3649					MIR224		LINC00677		
												ACP6		MIR4761		DNM1P46			LLGL2	RAD1							U3|ENSG00000253009.1		snoU13|ENSG00000238853.1		
												LINC00624		GP1BB		CERS3			PRPSAP1	SEPP1							LINC00894		RN7SL546P		
												HYDIN2		MRPL40		FAM169B			RPL38	SKP2							LINC00893		snoU13|ENSG00000239061.1		
												RNA5SP57		RN7SL168P		SPATA41			SEC14L1	SLC1A3							RN7SKP267		RN7SL472P		
												PDZK1P1		SNORA15|ENSG00000251940.1		OR4F6			SRSF2	TARS							ABCD1		LINC00524		
												RNF115		GSC2		OR4F15			SUMO2	ZNF131							ARHGAP4		U3|ENSG00000206761.1		
												NUDT17		DGCR5					SRP68	OSMR							ATP2B3		MEG9		
												GNRHR2		GGT3P					TK1	NUP155							ATP6AP1		MIR369		
												NBPF10		PEX26					GALR2	PAIP1							AVPR2		MIR377		
												SEC22B		ARVCF					SPHK1	MRPS30							BGN		MIR485		
												RN7SKP88		COMT					SLC16A5	NNT							CLIC2		MIR134		
												LINC00623		CRKL					SYNGR2	TTC33							CNGA2		MIR382		
												NBPF8		SERPIND1					SLC9A3R1	AMACR							CTAG1B		MIR381HG		
												SRGAP2B		PI4KA					COG1	NIPBL							TEX28		MIR376A1		
												ANKRD20A12P		SEPT5					RECQL5	RAI14							DKC1		MIR376C		
												FCGR1B		MAPK1					KIAA0195	FBXO4							DNASE1L1		MIR380		
												HIST2H2BA		PRODH					ATP5H	SLC45A2							DUSP9		MIR299		
												ARNT		RANBP1					ST6GALNAC2	RXFP3							EMD		MIR379		
												BCL9		SLC7A4					SEPT9	C5orf28							F8		SNORD113|ENSG00000222185.1		
												CTSK		SLC25A1					CD300C	AGXT2							FLNA		SNORD112|ENSG00000252009.1		
												CTSS		TBX1					CD300A	C5orf42							AFF2		SNORD113|ENSG00000222095.1		
												ECM1		CLDN5					TMC6	PARP8							G6PD		SNORD113|ENSG00000201710.1		
												ENSA		HIRA					GGA3	SPEF2							GABRA3		SNORD113|ENSG00000201036.1		
												FCGR1A		UBE2L3					JMJD6	ADAMTS12							GABRE		SNORD113|ENSG00000201500.1		
												FLG		UFD1L					EXOC7	CARD6							GDI1		SNORD113|ENSG00000200150.1		
												FMO5		ZNF74					KCTD2	EMB							HCFC1		SNORD112|ENSG00000251918.1		
												GJA5		DGCR6					WBP2	MROH2B							HMGB3		SNORD112|ENSG00000252144.1		
												GJA8		LZTR1					CDC42EP4	EGFLAM							IDH3G		SNORD112|ENSG00000251949.1		
												IVL		CLTCL1					NAT9	NADK2							IDS		SNORD112|ENSG00000252873.1		
												LOR		DGCR14					SAP30BP	UGT3A1							IL9R|ENSG00000124334.12		SNORD112|ENSG00000251769.1		
												MCL1		CDC45					NT5C	CAPSL							IRAK1		MEG8		
												SMCP		SNAP29					CDR2L	DNAJC21							L1CAM		MIR433		
												NOTCH2		DGCR2					MRPS7	TTC23L							MAGEA1		MEG3		
												PDZK1		TXNRD2					HN1	UGT3A2							MAGEA2		RN7SKP92		
												PI4KB		USP18					SDK2	NIM1							MAGEA3		RN7SL523P		
												PRKAB2		HIC2					TMEM104	RANBP3L							MAGEA4		YY1		
												PSMB4		TSSK2					C17orf80	RICTOR							MAGEA6		DEGS2		
												PSMD4		SDF2L1					ST6GALNAC1	C5orf51							MAGEA8		MIR342		
												RFX5		PPIL2					MIF4GD	PLCXD3							MAGEA9		CCNK		
												RORC		TRMT2A					CASKIN2	C5orf34							MAGEA10		U6|ENSG00000272439.1		
												S100A2		YPEL1					TNRC6C	MIR580							MAGEA11		AKT1		
												S100A3		ZDHHC8					SLC25A19	CCDC152							MAGEA12		CKB		
												S100A4		MED15					UBE2O	MIR3650							MECP2		CRIP1		
												S100A5		TUBA8					DNAI2								MPP1		CRIP2		
												S100A6		DGCR8					MRPL38								MTCP1		DIO3		
												S100A7		GNB1L					MFSD11								MTM1		DYNC1H1		
												S100A8		RTN4R					ARMC7								PLXNB3		EIF5		
												S100A9		C22orf29					RHBDF2								OPN1LW		EML1		
												S100A10		THAP7					NUP85								RENBP		BRF1		
												S100A11		TMEM191A					QRICH2								RPL10		HSP90AA1		
												S100A12		KLHL22					FAM104A								SLC6A8		JAG2		
												SPRR1A		DGCR6L					FBF1								SSR4		KLC1		
												SPRR1B		RIMBP3					UNK								VAMP7|ENSG00000124333.10		MARK3		
												SPRR2A		SCARF2					TRIM47								TAZ		PPP2R5C		
												SPRR2D		TUBA3FP					OTOP2								VBP1		MOK		
												SPRR2E		C22orf39					TTYH2								ZNF185		TNFAIP2		
												SPRR2F		TANGO2					CYGB								F8A1		TRAF3		
												SPRR2G		AIFM3					RNF157								UBL4A		WARS		
												SPRR3		RIMBP3C					METTL23								TMEM187		XRCC3		
												VPS72		YDJC					USH1G								SLC10A3		DLK1		
												TCHH		CCDC116					CD300LB								TKTL1		MTA1		
												TUFT1		PI4KAP2					KIF19								IKBKG		BAG5		
												HIST2H2AC		MIR130B					AFMID								MTMR1		C14orf2		
												HIST2H2BE		MIR185					MGAT5B								FAM50A		CDC42BPB		
												HIST2H4A		RIMBP3B					CD300LF								GPR50		TECPR2		
												PIP5K1A		MIR649					C17orf77								MAMLD1		SIVA1		
												ANXA9		MIR301B					TMC8								BCAP31		CYP46A1		
												ITGA10		MIR3618					SLC39A11								SPRY3|ENSG00000168939.6		RCOR1		
												PEX11B							TRIM65								ZNF275		PACS2		
												SELENBP1							UNC13D								TREX2		PPP1R13B		
												PRPF3							FADS6								SRPK3		KIF26A		
												CHD1L							HID1								PNMA3		GPR132		
												PDE4DIP							TSEN54								CTAG2		EVL		
												SETDB1							UBALD2								NSDHL		CINP		
												SV2A							TMEM235								TMLHE		CDCA4		
												RBM8A							RAB37								PLXNA3		ZNF839		
												SF3B4							CD300E								HAUS7		BEGAIN		
												PIAS3							OTOP3								PDZD4		INF2		
												SEMA6C							GPR142								FAM3A		BCL11B		
												POLR3C							ZACN								PRRG3		ZFYVE21		
												TXNIP							BTBD17								BRCC3		WDR25		
												MTMR11							MXRA7								CD99L2		TMEM121		
												TDRKH							CPSF4L								H2AFB3		AMN		
												CD160							SMIM5								TMEM185A		SETD3		
												VPS45							SMIM6								FATE1		HHIPL1		
												POGZ							TEN1								CXorf40A		BTBD6		
												RPRD2							C17orf99								FAM58A		EXOC3L4		
												CA14							MIR4316								PNMA5		WDR20		
												NBPF14							MIR3678								RAB39B		AHNAK2		
												LCE2B							MIR3615								PASD1		TRMT61A		
												TMOD4							MIR4738								GAB3		TDRD9		
												CERS2															PNCK		ANKRD9		
												CRNN															ZFP92		PLD4		
												BOLA1															CSAG1		ADSSL1		
												APH1A															VMA21		SLC25A29		
												PLEKHO1															CTAG1A		NUDT14		
												GPR89B															H2AFB2		C14orf177		
												OAZ3															H2AFB1		SLC25A47		
												MRPS21															CXorf40B		LINC00523		
												ADAMTSL4															MAGEA9B		CEP170B		
												CRCT1															OPN1MW2		C14orf80		
												C1orf56															MIR767		CCDC85C		
												GOLPH3L															HSFX2		ASPG		
												FAM63A															SMIM9		RTL1		
												CDC42SE1															CMC4		TMEM179		
												PGLYRP4															PNMA6C		C14orf180		
												CGN															MIR718		MIR127		
												ZNF687															MIR2114		MIR136		
												PRUNE															MIR4330		MIR154		
												MRPL9															HSFX1		MIR203		
												SCNM1																	MIR323A		
												TNFAIP8L2																	MIR337		
												C1orf54																	MIR345		
												TARS2																	MIR370		
												SNX27																	MIR381		
												ANP32E																	MIR431		
												HORMAD1																	MIR323B		
												POLR3GL																	MIR409		
												LCE3D																	MIR412		
												PGLYRP3																	MIR410		
												GABPB2																	MIR493		
												TCHHL1																	MIR432		
												RPTN																	MIR494		
												LIX1L																	MIR495		
												C1orf51																	MIR496		
												HFE2																	MIR487A		
												ANKRD35																	RD3L		
												NBPF12																	TEX22		
												LELP1																	MIR539		
												BNIPL																	MIR544A		
												SPRR4																	MIR487B		
												PPIAL4A																	MIR411		
												LCE4A																	MIR654		
												NBPF11																	MIR655		
												LCE5A																	MIR656		
												RIIAD1																	MIR758		
												THEM5																	MIR770		
												NBPF16																	MIR300		
												ANKRD34A																	MIR541		
												HIST2H2AB																	MIR665		
												S100A7A																	MIR543		
												LCE1A																	MIR889		
												LCE1B																	DIO3OS		
												LCE1C																	MIR1197		
												LCE1D																	MIR1193		
												LCE1E																	MIR4309		
												LCE1F																	MIR151B		
												LCE2A																	MIR4710		
												LCE2C																	MIR2392		
												LCE2D																			
												LCE3A																			
												LCE3B																			
												LCE3C																			
												LCE3E																			
												NOTCH2NL																			
												LYSMD1																			
												HRNR																			
												FLG2																			
												NBPF9																			
												HIST2H2BF																			
												KPRP																			
												LCE6A																			
												HIST2H4B																			
												PRR9																			
												PPIAL4G																			
												PPIAL4D																			
												PPIAL4B																			
												GPR89A																			
												PPIAL4C																			
												HIST2H3D																			
												FAM72B																			
												HIST2H2AA4																			
												FAM72D																			
												GPR89C																			
												C1orf68																			
												C2CD4D																			
												NBPF20																			
												MIR4257																			
