cytoband	11q22.1	3q26.31	17q12	20q11.21	8q24.21	19q13.13	9p24.1	5p15.33	13q22.1	17q25.1	1q21.3	Xq28	16p13.13	11q13.3	6p21.33	15q26.1	7p11.2	2q33.1	13q34	1p31.3	11p12	21q22.13	2p24.3	19p13.2	4q12	19p13.3	
										TRIM65	CHRNB2	L1CAM				LINC00925		TTC30B	MIR2681				SNORA36|ENSG00000206731.1				
										UNC13D	CKS1B|ENSG00000173207.8	MECP2				ISG20		snoU13|ENSG00000238295.1	FGF14				UCN				
										HID1	CLK2	MPP1				SNORD74|ENSG00000200206.1		MIR3128	LINC00411				TCF23				
										TSEN54	CTSK	MTCP1				RNA5SP400		RNA5SP112	GGACT				KCNK3				
										ZACN	CTSS	PLXNB3				RN7SL428P		RNU6ATAC14P	LINC00554				RN7SL856P				
										SMIM5	ECM1	OPN1LW				CSPG4P12		HOXD9	snoU13|ENSG00000238305.1				EFR3B				
										SMIM6	EFNA1	RENBP				SNORA25|ENSG00000200991.1		HOXD11	SNORA25|ENSG00000201245.1				SNORD14				
										TEN1	EFNA3	RPL10				LINC00933		EVX2	MIR4306				PTRHD1				
										MIR3678	EFNA4	SLC6A8				GOLGA6L5		KIAA1715	RNY3P6				RNA5SP88				
										MIR4738	ENSA	SSR4				CSPG4P5		ATP5G3	LINC00449				SCARNA21|ENSG00000251805.1				
											FDPS	VAMP7|ENSG00000124333.10				RN7SL417P		SP9	MIR623				PFN4				
											FLG	TAZ				GOLGA6L4		RN7SL65P	RN7SKP9				RN7SL610P				
											GBA	VBP1				RN7SL331P		AOX1	RN7SL60P				UBXN2A				
											IL6R	F8A1				EFTUD1P1		CASP10	RN7SKP8				RN7SKP27				
											ILF2	UBL4A				HDGFRP3		CHN1	snoU13|ENSG00000238407.1				RNA5SP87				
											IVL	TMEM187				SCARNA15|ENSG00000252690.2		CHRNA1	RAP2A				RN7SL117P				
											KCNN3	SLC10A3				GOLGA6L10|ENSG00000254374.2		CLK1	RNA5SP37				TDRD15				
											LOR	TKTL1				RN7SL410P		COL3A1	snoU13|ENSG00000238522.1				GDF7				
											MCL1	IKBKG				GOLGA6L9|ENSG00000196648.6		COL5A2	SNORD112|ENSG00000252154.1				RNA5SP86				
											SMCP	FAM50A				UBE2Q2P3		ATF2	RN7SKP7				RN7SL140P				
											MTX1	BCAP31				RN7SL256P		FRZB	LINC00359				LINC00954				
											MUC1	SPRY3|ENSG00000168939.6				RN7SL61P		MSTN	RN7SL164P				SNORA40|ENSG00000212455.1				
											NPR1	SRPK3				CSPG4P8		GLS	HS6ST3				RN7SKP168				
											PI4KB	CTAG2				UBE2Q2P2		HOXD1	snR65|ENSG00000251901.1				SNORA40|ENSG00000251704.1				
											PKLR	TMLHE				TMC3		HOXD3	RNY4P27				RN7SL104P				
											PSMB4	PLXNA3				STARD5		HOXD4	RNY3P8				MYCNOS				
											PSMD4	PDZD4				LINC00927		HOXD8	snoU13|ENSG00000238463.1				snoU13|ENSG00000238371.1				
											RAB13	FAM3A				SNORD112|ENSG00000251881.1		HOXD10	LINC00557				LINC00276				
											RFX5	BRCC3				C15orf37		HOXD12	LINC00391				MIR3125				
											RORC	H2AFB3				MTHFS		HOXD13	RN7SL585P				SNORD18|ENSG00000238503.1				
											RPS27	RAB39B				ANKRD34C		HSPD1	RNA5SP36				MIR548S				
											S100A1	GAB3				CTSH		HSPE1	RNA5SP35				RN7SL674P				
											S100A2	PNCK				ACSBG1		INPP1	SNORD22				RNA5SP85				
											S100A3	CTAG1A				IDH3A		ITGA4	MIR548AS				RNA5SP84				
											S100A4	H2AFB2				SNORA63|ENSG00000199633.1		ITGAV	RNU4ATAC3P				LINC00570				
											S100A5	H2AFB1				SH2D7		MYO1B	LINC00379				RN7SL832P				
											S100A6	OPN1MW2				MIR1827		NAB1	LINC00410				SNORA80B				
											S100A7	SMIM9				RN7SL214P		NDUFB3	RNA5SP34				SNORA51|ENSG00000206898.1				
											S100A8	CMC4				RN7SL278P		NEUROD1	LINC00559				RN7SL66P				
											S100A9	MIR718				RN7SKP217		NFE2L2	SNORD38|ENSG00000200733.1				SNORA2|ENSG00000206647.1				
											S100A10					NRG4		PDE1A	LINC00353				SNORA26|ENSG00000212558.1				
											S100A11					RN7SL510P		PMS1	LINC00440				snoU13|ENSG00000238462.1				
											S100A12					SNORD112|ENSG00000252372.1		SP3	LINC00560				IAH1				
											S100A13					RN7SL319P		SSFA2	LINC00433				snoU13|ENSG00000238888.1				
											SHC1					DNM1P35		STAT1	MIR4500HG				MBOAT2				
											SPRR1A					SNX33		STAT4	ATP4B				RNU6ATAC37P				
											SPRR1B					ANP32BP1		TFPI	COL4A1				RN7SKP112				
											SPRR2A					DNM1P34		TTN	COL4A2				FLJ30594				
											SPRR2D					RN7SL327P		WIPF1	DCT				SNORA31|ENSG00000252238.1				
											SPRR2E					GOLGA6D		SDPR	GPR183				RN7SL531P				
											SPRR2F					RN7SL489P		AGPS	EFNB2				DCDC2C				
											SPRR2G					GOLGA6C		PRKRA	ERCC5				SNORA73|ENSG00000252531.1				
											SPRR3					SCARNA20|ENSG00000252722.1		CFLAR	F7				snoU13|ENSG00000238722.1				
											VPS72					RPP25		STK17B	F10				TMEM18				
											THBS3					COX5A		GTF3C3	GPC5				FAM110C				
											TCHH					SCAMP2		CIR1	GAS6				ACP1				
											TPM3					SNORD77|ENSG00000212279.2		BZW1	GPR18				ADCY3				
											TUFT1					RN7SL429P		CALCRL	ING1				ALK				
											PIP5K1A					ACAN		UBE2E3	IPO5				APOB				
											ANXA9					ALDH1A3		MTX2	LAMP1				RHOB				
											ADAM15					ANPEP		NCKAP1	LIG4				ZFP36L2				
											SELENBP1					BCL2A1		RAPGEF4	PCCA				CAD				
											PRPF3					BLM		SATB2	DNAJC3				CALM2				
											SETDB1					BNC1		SF3B1	SLC10A2				CENPA				
											UBAP2L					CHD2		TMEFF2	SLC15A1				CYP1B1				
											DENND4B					CHRNA3		MOB4	SOX1				DDX1				
											SCAMP3					CHRNA5		SPATS2L	TFDP1				DNMT3A				
											HAX1					CHRNB4		HIBCH	TPP2				DTNB				
											SEMA6C					CLK3		OLA1	ZIC2				E2F6				
											PMVK					CRABP1		SLC40A1	STK24				EPAS1				
											FAM189B					CSK		PDE11A	CUL4A				FKBP1B				
											JTB					CSPG4		FKBP7	IRS2				GCKR				
											SLC27A3					CYP1A1		MLTK	PROZ				GTF3C2				
											TDRKH					CYP1A2		PPIL3	ARHGEF7				HADHA				
											VPS45					CYP11A1		ASNSD1	CDC16				HADHB				
											POGZ					ETFA		MFSD6	CLDN10				HPCAL1				
											RPRD2					FAH		ZC3H15	ITGBL1				ID2				
											SNAPIN					FES		DNAH7	TM9SF2				KCNF1				
											RUSC1					IDH2		SLC39A10	GPC6				KCNS3				
											CA14					IGF1R		HECW2	MBNL2				KHK				
											C1orf43					IL16		CWC22	FARP1				KIF3C				
											CHTOP					IREB2		NIF3L1	ABCC4				LTBP1				
											LCE2B					ISLR		OSGEPL1	TUBGCP3				EPCAM				
											SLC39A1					MAN2A2		BOLL	TNFSF13B				MATN3				
											TMOD4					MAN2C1		C2orf47	SOX21				MPV17				
											CERS2					MEF2A		SCRN3	RASA3				MSH2				
											CRNN					MFGE8		PGAP1	DZIP1				MYCN				
											ZBTB7B					MPI		COQ10B	MYO16				ODC1				
											APH1A					NMB		CDCA7	ATP11A				VIT				
											PLEKHO1					NTRK3		WDR75	MCF2L				PIGF				
											OAZ3					FURIN		C2orf88	DOCK9				POMC				
											DPM3					PCSK6		SESTD1	TGDS				PPM1B				
											MRPS21					PDE8A		ANKRD44	SLITRK5				PPM1G				
											ADAMTSL4					PLIN1		ZNF804A	OXGR1				PPP1CB				
											CRCT1					PML		MARS2	BIVM				PRKCE				
											C1orf56					POLG		ORMDL1	TMCO3				EIF2AK2				
											GOLPH3L					PSMA4		OSBPL6	ANKRD10				RPS7				
											UBE2Q1					PTPN9		NUP35	RAB20				RRM2				
											FAM63A					RASGRF1		TYW5	CARKD				SDC1				
											ASH1L					RCN2		RBM45	UGGT2				SRSF7				
											LENEP					RLBP1		KCTD18	PCID2				SIX3				
											SLC50A1					RPS17		DUSP19	UPF3A				SLC8A1				
											CDC42SE1					SH3GL3		ANKAR	KDELC1				SOS1				
											PGLYRP4					SNRPA1		ZSWIM2	CARS2				SOX11				
											ATP8B2					NR2F2		ZNF385B	GRTP1				SPAST				
											PBXIP1					AP3B2		PPP1R1C	TMTC4				STRN				
											S100A14					ST8SIA2		SGOL2	ABHD13				ADAM17				
											GATAD2B					SEMA7A		GPR155	ZIC5				TPO				
											CGN					PEX11A		FAM171B	TEX30				TSSC1				
											ZNF687					IQGAP1		C2orf69	ADPRHL1				VSNL1				
											HCN3					PSTPIP1		HNRNPA3	TEX29				XDH				
											PRUNE					PRC1		CCDC150	SPACA7				SLC30A3				
											MRPL9					SLC28A1		CCDC141	RNF113B				PXDN				
											INTS3					HOMER2		FAM126B	GPR180				KLF11				
											SCNM1					ZNF592		FTCDNL1	CLYBL				MAP4K3				
											TNFAIP8L2					SV2B		CERKL	METTL21C				NCOA1				
											C1orf54					ARNT2		FSIP2	NALCN				ASAP2				
											TRIM46					SNUPN		MIR10B	DAOA				SLC5A6				
											TARS2					TSPAN3		DFNB59	CHAMP1				EIF2B4				
											FLAD1					AP3S2		MIR561	UBAC2				TAF1B				
											SNX27					HMG20A		MIR933	TMEM255B				COX7A2L				
											ANP32E					SEMA4B		MIR1258	C13orf35				ITGB1BP1				
											HORMAD1					CIB2		MIR4437	MIR17HG				OTOF				
											LCE3D					ARID3B		MIR548AE1	MIR622				CRIPT				
											AQP10					MORF4L1			FAM155A				ROCK2				
											PYGO2					ABHD2			MIR3170				TP53I3				
											NUP210L					ADAMTS7			MIR4500				MRPL33				
											PGLYRP3					AKAP13			MIR4502				BRE				
											GABPB2					CHSY1							PREPL				
											TCHHL1					TBC1D2B							FEZ2				
											RPTN					MESDC2							SOCS5				
											TDRD10					KIAA1024							GREB1				
											SHE					SYNM							LAPTM4A				
											DCST2					TMED3							RNF144A				
											S100A16					SEC11A							SNX17				
											CREB3L4					SIN3A							SUPT7L				
											C1orf51					ULK3							PREB				
											LELP1					FBXO22							LRPPRC				
											DCST1					VPS33B							PDIA6				
											BNIPL					MRPL46							CEBPZ				
											SPRR4					OR4F4							CDC42EP3				
											LCE4A					SLCO3A1							CGREF1				
											KRTCAP2					SCAPER							SIX2				
											CRTC2					NGRN							RAB10				
											LCE5A					RHCG							YWHAQ				
											RIIAD1					BTBD1							EMILIN1				
											THEM5					TM6SF1							GPN1				
											S100A7A					ZFAND6							MAPRE3				
											LCE1A					SCAND2P							SLC4A1AP				
											LCE1B					COMMD4							MYT1L				
											LCE1C					ZSCAN2							WDR43				
											LCE1D					DET1							LPIN1				
											LCE1E					FANCI							PUM2				
											LCE1F					IMP3							HAAO				
											LCE2A					DNAJA4							NTSR2				
											LCE2C					MCTP2							PRKD3				
											LCE2D					VIMP							RASGRP3				
											LCE3A					UNC45A							QPCT				
											LCE3B					C15orf39							FAM98A				
											LCE3C					RGMA							IFT172				
											LCE3E					WDR93							SH3YL1				
											LYSMD1					FAM219B							EML4				
											HRNR					ADAMTSL3							TRIB2				
											FLG2					KIAA1199							GRHL1				
											KPRP					ALPK3							NRBP1				
											LCE6A					ISLR2							ITSN2				
											PRR9					ABHD17C							MEMO1				
											MIR92B					MESDC1							TRAPPC12				
											MIR190B					PPCDC							CRIM1				
											C1orf68					STRA6							DNAJC27				
											C2CD4D					KLHL25							ATRAID				
											MIR4257					CPEB1							NBAS				
																AEN							DYNC2LI1				
																CRTC3							SF3B14				
																ISL2							YPEL5				
																TTC23							CPSF3				
																MRPS11							SNTG2				
																EFTUD1							ATAD2B				
																NEIL1							HEATR5B				
																LRRK1							TMEM214				
																LMAN1L							SLC35F6				
																PEAK1							TRMT61B				
																CCDC33							SRBD1				
																EDC3							ASXL2				
																TM2D3							ADI1				
																WDR61							NDUFAF7				
																FAM103A1							TTC27				
																MEX3B							SLC30A6				
																LINGO1							ALLC				
																WDR73							DPYSL5				
																UBL7							TRIM54				
																TICRR							TTC7A				
																RCCD1							BIRC6				
																ARRDC4							KIDINS220				
																LINC00923							MTA3				
																UBE2Q2							WDR35				
																C15orf40							RDH14				
																TARSL2							NLRC4				
																LRRC28							AGBL5				
																C15orf27							C2orf43				
																AGBL1							THADA				
																HYKK							ATL2				
																WHAMM							ABCG5				
																FSD2							ABCG8				
																ASB7							HS1BP3				
																LYSMD4							FNDC4				
																PGPEP1L							COLEC11				
																C15orf32							CENPO				
																HAPLN3							GALNT14				
																MESP2							CCDC121				
																SPATA8							SMC6				
																LINC00052							CLIP4				
																C15orf26							CAMKMT				
																ODF3L1							NOL10				
																ADAMTS17							C2orf44				
																SCAMP5							THUMPD2				
																DNM1P46							FAM49A				
																CERS3							LBH				
																C15ORF37							C2orf16				
																FAM154B							ZNF512				
																FAM169B							ABHD1				
																GOLGA6A							EPT1				
																KIF7							MCFD2				
																ZNF710							ATP6V1E2				
																HDDC3							DHX57				
																UBE2Q2P1							PKDCC				
																SPATA41							RSAD2				
																GDPGP1							CAPN13				
																OR4F6							DRC1				
																OR4F15							HNRNPLL				
																ST20							NT5C1B				
																FAM174B							KLHL29				
																MIR184							CMPK2				
																GOLGA6L9|ENSG00000197978.8							CIB4				
																TTLL13							PLEKHH2				
																CPLX3							OSR1				
																GOLGA6L10|ENSG00000205281.6							TTC32				
																MIR549							ZNF513				
																MIR631							GALM				
																MIR1276							TMEM178A				
																MIR1179							C2orf50				
																MIR3174							PQLC3				
																MIR4313							GAREML				
																MIR3713							PLB1				
																RPS17L							MYADML				
																MIR4514							FAM84A				
																MIR4513							RMDN2				
																MIR4515							GPR113				
																MIR548AP							OXER1				
																							FAM179A				
																							KCNG3				
																							CYS1				
																							KRTCAP3				
																							SPDYA				
																							ATP6V1C2				
																							RNASEH1				
																							LCLAT1				
																							GPATCH11				
																							FAM150B				
																							C2orf61				
																							DNAJC5G				
																							C2orf70				
																							C2orf53				
																							LINC00299				
																							MSGN1				
																							CDKL4				
																							GEN1				
																							C2orf48				
																							FAM228B				
																							MFSD2B				
																							C2orf71				
																							TMEM247				
																							SULT6B1				
																							LINC00487				
																							C2orf91				
																							CAPN14				
																							FAM228A				
																							RAD51AP2				
																							MORN2				
																							OST4				
																							ARHGEF33				
																							MIR1301				
																							MIR4261				
																							MIR4262				
																							MIR3681				
																							MIR4757				
																							MIR4429				
																							MIR548AD				
