cytoband	9p21.3	8p23.2	4q35.2	2q22.1	18q23	11q23.1	7q36.1	19p13.3	1p13.2	13q12.11	5q12.1	9p23	10p11.21	2q36.2	2q21.2	Xq21.33	10q23.31	Xp21.3	13q14.2	3p12.1	17q25.3	4q22.1	1p36.21	16q23.3	21q22.3	11p15.5	7q31.1	5q35.3	6p25.3	9q34.3	14q11.2	16q23.1	9q21.11	14q32.32	3p14.2	1q44	4p15.2	4q21.3	Xp22.2	10p15.3	15q15.1	17p11.2	5q15	19q13.43	12q24.33	3p26.2	3p24.1	4p16.3	
			DUX4L6		TXNL4A	SDHD	SSPO		HYDIN2	snoU13|ENSG00000238893.1				RN7SL204P					SNORA31|ENSG00000253051.1				SCARNA18|ENSG00000252691.1		TMPRSS2	TRPC2			LY86		SNORD41|ENSG00000212302.1		RN7SL565P	IGHD						MIR5699	SNORA11|ENSG00000261709.2	FAM27L		MIMT1	snoU13|ENSG00000238822.1			HSP90AB2P	
			DUX4L5		ADNP2	RNA5SP351	SNORD112|ENSG00000252557.1		RNA5SP57	HNRNPA1P30				MSL3P1					7SK|ENSG00000271818.1				SCARNA17|ENSG00000252190.1		BACE2	TSSC2			RN7SL221P		OR6J1		RN7SL343P	IGHG3						RN7SL754P	SORD	LGALS9B		SMIM17	RN7SL534P			RNA5SP156	
			DUX4L3		KCNG2	HSPB2	RN7SL521P		PDZK1P1	MIR4499				DNAJB3					RN7SKP3				MAN1C1		C2CD2	SNORA54			MIR3691		TRAC		FAM95B1	IGHG1						RNA5SP298	B2M	CCDC144NL		ZNF71	snoU13|ENSG00000238895.1			HS3ST1	
			DUX4L2		PQLC1	ALG9	RNY1		RNF115	LINC00556				UGT1A3					RN7SL49P				snoU13|ENSG00000238889.1		ZBTB21	SLC22A18AS			RMRPP2		TRAJ1		SNORA70|ENSG00000252724.1	IGHA1						RNA5SP297	RN7SL347P	C17orf51		A1BG	MIR3612			CLNK	
					PARD6G	ALG9	RNY3		NUDT17	snoU13|ENSG00000238665.1				SCARNA6|ENSG00000251791.1					LINC00330				SYF2		RIPK4	KCNQ1OT1			snoU13|ENSG00000238801.1		TRAJ2		RN7SL763P	IGHG2						TUBB8	HYPK	MTRNR2L1		PEG3	TMEM132C			RNA5SP155	
					LINC00908	RN7SKP273	RNY4		GNRHR2	RN7SL166P				SCARNA5					snoU13|ENSG00000238932.1				snoU13|ENSG00000238986.1		PRDM15	RPL26P30			RNA5SP202		TRAJ3		FAM74A6	IGHG4						KLF6	CATSPER2P1	MIR4522		RPS5	LINC00508			MIR3138	
					ATP9B	SIK2	RNY5		NBPF10	PSPC1				RN7SL32P					TSC22D1				RN7SL857P		LINC00479	C11orf21			snoU13|ENSG00000252668.1		TRAJ4		FAM74A2	IGHE						AKR1C2	snoU13|ENSG00000238494.1			AURKC	LINC00507			RNA5SP154	
					HSBP1L1	RNA5SP350	RN7SL569P		SEC22B	LINC00350				snoU13|ENSG00000239170.1					LINC00284				snoU13|ENSG00000238538.1		MIR3197	MIR483			C6ORF50		TRAJ5		RN7SL422P	IGHA2						IDI1	snoU13|ENSG00000238535.1			ZNF8	LINC00944			RNA5SP153	
						SNORD39|ENSG00000264997.1	RN7SL72P		RN7SKP88	LINC00421				RN7SL359P					RCBTB2				RN7SL24P			H19			RNA5SP201		TRAJ6		FAM74A1	CRIP1						PFKP	RN7SL487P			ZNF17	LINC00943			USP17L23	
						RNA5SP349	AOC1		LINC00623	TUBA3C				CHRND					CPB2				RN7SL532P			C11orf89			C6orf195		TRAJ7		RN7SL462P	C14orf79						AKR1C3	CCNDBP1			MZF1	LINC00939			USP17L15	
						APOA1	EZH2		NBPF8	RNA5SP24				ECEL1P2					ESD				MIR3115			FAM99B			RN7SL352P		TRAJ8		FAM74A5	LINC00638						PITRM1	snoU13|ENSG00000239025.1			ZNF132	TMEM132B			FAM90A26	
						APOA4	GBX1		SRGAP2B	LINC00442				MIR562					MLNR				MIR4684			MOB2			snoU13|ENSG00000238438.1		TRAJ9		RN7SL640P	ZBTB42						ZMYND11	MIR627			ZNF135	BRI3BP			GPR78	
						APOC3	KCNH2		ANKRD20A12P	PHF2P2				NPPC					GTF2F2				LINC00339			MUC5AC			BMP6		TRAJ10		FAM201A	C14orf144						WDR37	MIR4310			ZNF154	RPL22P19			RNA5SP152	
						CRYAB	NOS3		FCGR1B	LINC00387				MGC4771					HTR2A				RN7SL186P			SNORA52			BPHL		TRAJ11		PGM5	RN7SL634P						DIP2C	RNA5SP393			UBE2M	DNAH10OS			MIR95	
						DLAT	RARRES2		HIST2H2BA	LINC00388				RN7SL499P					LCP1				RN7SL768P			RPLP2			DSP		TRAJ12		ZNF658	LINC00637						LARP4B	MIR626			TRIM28	EIF2B1			MIR4274	
						DRD2	RHEB		LINC00622	LINC00349				SNORD82					RB1				RN7SL386P			TMEM80			EDN1		TRAJ13		SPATA31A7	SNORD51|ENSG00000202275.1						GTPBP4	RN7SL497P			ZNF256	SNORA9|ENSG00000206897.1			MIR4798	
						FDX1	SLC4A2		snoU13|ENSG00000238679.1	FGF9				SNORD20					TPT1				RN7SL421P			SCT			SERPINB1		TRAJ14		CNTNAP3	APOPT1						AKR1E2	RN7SL376P			ZNF211	SNRNP35			RN7SKP36	
						HTR3A	SMARCD3		RNA5SP56	GJA3				SNORA75|ENSG00000206885.1					SUCLA2				MIR1256			MIR210HG			F13A1		TRAJ16		ANKRD20A1	SNORA28						IDI2	snoU13|ENSG00000238559.1			TRAPPC2P1	RNA5SP375			GRPEL1	
						IL18	XRCC2		WDR3	GJB2				NCL					ITM2B				UBXN10			RN7SL838P			FOXF2		TRAJ17		CBWD5	LINC00605						LINC00200	LINC00594			ZNF274	RN7SL133P			RN7SKP292	
						NCAM1	ZNF212		SNORA40|ENSG00000212266.1	ZMYM2				MIR4777					LPAR6				PLA2G2C			ODF3			FOXC1		TRAJ18		FOXD4L3	LINC00677						PRR26	RNA5SP392			ZNF460	MIR4304			S100P	
						NNMT	ZNF282		MAN1A2	IFT88				RN7SL834P					FNDC3A				PLA2G2D			AP2A2			GCNT2		TRAJ19		FOXD4L4	snoU13|ENSG00000238853.1							LINC00984			SLC27A5	HCAR1			C4orf50	
						PAFAH1B2	CUL1		MIR942	ZMYM5				RNY4P19					ZC3H13				PLA2G5			APBB1			GMDS		TRAJ20		SPATA31A6	RN7SL546P							snoU13|ENSG00000238564.1			ZIM2	SNORA9|ENSG00000252192.1			RN7SKP275	
						POU2AF1	ASIC3		TTF2	SAP18				RN7SKP283					LRCH1				RN7SL304P			RHOG			HIVEP1		TRAJ21		FAM74A4	snoU13|ENSG00000239061.1							THBS1			ZNF324	ZCCHC8			RN7SKP113	
						PPP2R1B	PDIA4		RNA5SP55	GJB6				SNORD112|ENSG00000251801.1					NUFIP1				PLA2G2E			ART1			IRF4		TRAJ22		ANKRD20A3	RN7SL472P							FAM98B			CHMP2A	MLXIP			FAM86EP	
						PTS	ABCF2		MIR548AC	LATS2				SNORA25|ENSG00000272237.1					MED4				snoU13|ENSG00000239027.1			ASCL2			MAK		TRAJ23		ANKRD20A2	LINC00524							U3|ENSG00000212511.1			ZNF544	BCL7A			LINC00955	
						RDX	FASTK		ATP1A1OS	CRYL1				RNA5SP121					NUDT15				RN7SL277P			CARS			NEDD9		TRAJ24		FAM27A	U3|ENSG00000206761.1							CSNK1A1P1			ZNF586	ORAI1			LRPAP1	
						SDHD	ABCB8		U3|ENSG00000221040.1	IL17D				SNORA48|ENSG00000212391.1					KIAA1704				RN7SL85P			CCKBR			NQO2		TRAJ25		SPATA31A2	MEG9							MIR3942			ZNF416	SNORA70|ENSG00000201945.1			MSANTD1	
						TAGLN	GIMAP2		SNORA42|ENSG00000207502.1	MPHOSPH8				MIR4439					CYSLTR2				AKR7A2			CD81			SERPINB6		TRAJ26		SPATA31A4	MIR369							ANP32AP1			ZNF446	GATC			RN7SL589P	
						ZBTB16	ZNF777		RN7SL420P	XPO4				RN7SL807P					SMIM2				AKR7A3			CD151			SERPINB9		TRAJ27		CBWD6	MIR377							GJD2			VN1R1	RPS27P25			MIR943	
						HTR3B	TMEM176B		RN7SL432P	MRP63				ACSL3					KIAA0226L				MIR1290			CDKN1C			RREB1		TRAJ28		SPATA31A1	MIR485							SNORA18|ENSG00000252425.1			ZNF304	MIR4498			SCARNA22	
						ZW10	REPIN1		DENND2C	TPTE2				snoU13|ENSG00000238852.1					CDADC1				MIR4695			CNGA4			SSR1		TRAJ29		FOXD4L6	MIR134							SLC12A6			USP29	snoU13|ENSG00000272464.1			RN7SL671P	
						RBM7	PRKAG2		BCL2L15	N6AMT2				SGPP2					CAB39L				snoU13|ENSG00000239020.1			CTSD			TFAP2A		TRAJ30		FOXD4L5	MIR382							TMCO5B			ZSCAN18	MIR1178			SNORA48|ENSG00000212458.1	
						CEP164	NUB1		LRIG2	SKA3				RN7SKP213					COG3				PADI6			DRD4			TUBB2A		TRAJ31		FAM27D1	MIR381HG							SNORD77|ENSG00000212415.1			RPL23AP79	RN7SKP197			TMED11P	
						SIK3	CHPF2		snoU13|ENSG00000238975.1	MICU2				RN7SL764P					SETDB2				MIR3972			DUSP8			RIPK1		TRAJ32		SPATA31A3	MIR376A1							snoU13|ENSG00000238342.1			ZNF329	RN7SL508P			RN7SL358P	
						BACE1	GIMAP4		WNT2B					MIR3131					LACC1				U1|ENSG00000228549.2			HBB			PRPF4B		TRAJ33		SPATA31A5	MIR376C							RN7SL286P			ZNF419	SNORA38|ENSG00000201042.1			ZNF721	
						CADM1	GIMAP5		snoU13|ENSG00000238761.1					LINC00608					CCDC122				MST1L			HBD			GCM2		TRAJ34		CBWD7	MIR380							RN7SL539P			ZNF552	RNA5SP374			ABCA11P	
						REXO2	TMEM176A		snoU13|ENSG00000239111.1					U3|ENSG00000252805.1					FAM194B				ESPNP			HBE1			CDYL		TRAJ35		FAM74A3	MIR299							GOLGA8O			ZNF671	HRK			MIR571	
						TIMM8B	ACTR3B		AMPD1					RN7SKP38					SPERT				CROCCP2			HBG2			EEF1E1		TRAJ36		CNTNAP3B	MIR379							U8|ENSG00000206987.1			ZNF606	MAP1LC3B2			ZNF141	
						SIDT2	ZNF398		RHOC					VIL1					LRRC63				U1|ENSG00000233421.3			HPX			ECI2		TRAJ37		ANKRD20A4	SNORD113|ENSG00000222185.1							ULK4P1			ZBTB45	LINC00173			ZNF732	
						C11orf71	KMT2C		ATP1A1					MIR26B					SLC25A30				CROCCP3			HRAS			FARS2		TRAJ38		FOXD4L2	SNORD112|ENSG00000252009.1							RN7SL185P			ZNF587	MIR620			ZNF876P	
						BTG4	GALNT11		BCL9					snoU13|ENSG00000238736.1					SIAH3				C1orf134			IGF2			RPP40		TRAJ39		FAM27E3	SNORD113|ENSG00000222095.1							GOLGA8K			ZNF551	SNORD56|ENSG00000200112.1			ZNF718	
						NXPE4	LRRC61		CAPZA1					snoU13|ENSG00000238428.1					KCTD4				ANO7P1			INS			FAM50B		TRAJ40		FAM27C	SNORD113|ENSG00000201710.1							CHRNA7			ZNF835	RN7SL865P			ZNF595	
						TTC12	ZNF767		CASQ2					CXCR2P1					SERP2				C1orf64			IRF7			SLC35B3		TRAJ41		FAM27B	SNORD113|ENSG00000201036.1							SNORA18|ENSG00000206849.1			ZIM3	SNORA27|ENSG00000252459.1			ADD1	
						C11orf57	TMUB1		CD2					DIRC3									snoU13|ENSG00000238818.1			KCNQ1			NRN1		TRAJ42		MIR1299	SNORD113|ENSG00000201500.1							MIR211			ZNF837	RN7SKP216			ADRA2C	
						TEX12	KRBA1		CD58					RN7SKP43									DDI2			LSP1|ENSG00000130592.9			TMEM14C		TRAJ43		MIR4477A	SNORD113|ENSG00000200150.1							RN7SL82P			ZNF543	LHX5			ATP5I	
						ARHGAP20	ZBED6CL		FCGR1A					RNA5SP120									AGMAT			MUC2			ELOVL2		TRAJ44			SNORD112|ENSG00000251918.1							U8|ENSG00000252602.1			C19orf18	RN7SKP71			BST1	
						USP28	AGAP3		FMO5					RPL37A									SCARNA21|ENSG00000251866.1			MUC6			PAK1IP1		TRAJ45			SNORD112|ENSG00000252144.1							RN7SL628P			ZNF418	MIR3657			CRMP1	
						C11orf1	ZNF786		GJA5					MREG									C1orf195			NAP1L4			EXOC2		TRAJ46			SNORD112|ENSG00000251949.1							GOLGA8H			ZNF497	ADAM1A			CTBP1	
						TMPRSS5	ASB10		GJA8					LINC00607									SCARNA11|ENSG00000253085.1			NUP98			WRNIP1		TRAJ47			SNORD112|ENSG00000252873.1							U8|ENSG00000207430.1			ZNF550	U7|ENSG00000272215.1			DGKQ	
						BCO2	GIMAP8		HMGCS2					snoU13|ENSG00000238663.1									RNA5SP41			SLC22A18			DUSP22		TRAJ48			SNORD112|ENSG00000251769.1							ULK4P2			ZNF584	RNA5SP373			DRD5	
						BUD13	CRYGN		HSD3B1					SNORA70|ENSG00000207274.1									PRAMEF14			POLR2L			LYRM4		TRAJ49			MEG8							RN7SL796P			ZSCAN4	RN7SL387P			EVC	
						DIXDC1	ZNF425		HSD3B2					VWC2L									PRAMEF18			PSMD13			SLC22A23		TRAJ50			MIR433							GOLGA8Q			ZNF549	PPTC7			FGFR3	
						ZC3H12C	ZNF746		IGSF3					AAMP									C1orf158			RNH1			BLOC1S5		TRAJ52			MEG3							RN7SL196P			ZNF547	SNORD50|ENSG00000202335.1			GAK	
						FDXACB1	ATP6V0E2		MOV10					AGXT									snoU13|ENSG00000238771.1			MRPL23			TXNDC5		TRAJ53			RN7SKP92							GOLGA8R			ZIK1	RN7SL769P			GRK4	
						C11orf52	GALNTL5		NGF					ALPI									RNU6ATAC18P			RRM1			TMEM14B		TRAJ54			RN7SL523P							U8|ENSG00000238519.1			ZNF776	RN7SL441P			HTT	
						APOA5	GIMAP7		NHLH2					ALPP									SNORA59A			SMPD1			RIOK1		TRAJ56			YY1							RN7SL469P			ZSCAN1	RN7SKP250			HGFAC	
						C11orf93	ZNF467		NOTCH2					ALPPL2									SNORA70|ENSG00000252969.1			TRIM21			ADTRP		TRAJ57			DEGS2							GOLGA8T			ZSCAN22	RNA5SP372			HMX1	
						PIH1D2	GIMAP1		NRAS					ATIC									MIR4632			STIM1			FOXQ1		TRAJ58			MIR342							U8|ENSG00000207432.1			ZNF530	MIR619			IDUA	
						NXPE1	C7orf33		PDZK1					KIF1A									RN7SL649P			TALDO1			HUS1B		TRAJ59			CCNK							ULK4P3			ZNF773	SNORA40|ENSG00000264043.2			LETM1	
						NXPE2	ZNF775		PRKAB2					BARD1									C1orf167			TH			SNRNP48		TRAJ61			U6|ENSG00000272439.1							RN7SL673P			ZNF749	FICD			MSX1	
						LAYN	ATG9B		PTGFRN					BCS1L									DRAXIN			TSPAN4			SMIM13		TRDV3			RN7SL714P							GOLGA8J			ZNF324B	RNA5SP371			MYL5	
						ANKK1	WDR86		SLC16A1					BOK									snoU13|ENSG00000271794.1			TNNI2			SYCP2L		TRDC			RN7SL710P							snoZ278			ZNF772	SNORD74|ENSG00000200897.1			PDE6B	
						RNF214	GIMAP6		SYCP1					CHRNG									TARDBP			TNNT3			PXDC1		TRDJ3			LINC00618							GOLGA6L7P			ZNF587B	C12orf45			PPP2R2C	
						C11orf53	ZNF862		TBX15					COL4A3									RN7SL614P			PHLDA2			FAM217A		TRDJ2			RN7SKP108							WHAMMP2			MIR4754	MIR3922			QDPR	
						C11orf87	ACTR3C		TSHB					COL4A4									DFFA			ZNF195			CAGE1		TRDJ4			snoU13|ENSG00000238776.1							RN7SL719P				RNA5SP370			RGS12	
						C11orf92	ZNF783		CSDE1					COL6A3									RN7SL721P			RASSF7			MYLK4		TRDJ1			DKFZP434O1614							GOLGA8M				HCFC2			RNF4	
						C11orf88			HIST2H2AC					CRYBA2									RN7SL731P			IFITM1			TUBB2B		TRDD3			C14orf132							RN7SL829P				MIR3652			SH3BP2	
						MIR34B			HIST2H2BE					CYP27A1									RN7SKP269			BRSK2			PSMG4		TRDD2			LINC00617							RN7SL238P				snoU13|ENSG00000238914.1			WFS1	
						MIR34C			HIST2H4A					DES									SLC25A33			TSPAN32			C6orf201		TRDD1			GLRX5							GOLGA8F				U8|ENSG00000212594.1			WHSC1	
						CLDN25			ITGA10					DTYMK									RNA5SP40			TSSC4			PPP1R3G		TRDV2			SCARNA13							RNA5SP391				LINC00485			NELFA	
						MIR4301			PEX11B					EPHA4									GPR157			TRIM22			TMEM170B		TRAV41			SNHG10							LINC00929				RN7SL793P			SLBP	
						MIR4491			CD101					FN1									SCARNA16|ENSG00000252404.1			IFITM3			MIR4645		TRAV40			MIR4506							SNORA48|ENSG00000212604.1				RNA5SP369			ACOX3	
									CHD1L					GBX2									RN7SL451P			DEAF1			MIR5689		TRAV39			SLC24A4							MIR4715				snoU13|ENSG00000238940.1			CPZ	
									PDE4DIP					GPC1									SNORA77|ENSG00000221083.1			IFITM2			MIR5683		TRAV36DV7			NDUFB1							RNA5SP390				RNA5SP368			NOP14	
									RBM8A					GPR35									RN7SL729P			TRIM3					TRAV35			U3|ENSG00000200042.1							ATP10A				RNA5SP367			FAM193A	
									TSPAN2					HDLBP									TNFRSF9			PKP3					TRAV34			RN7SL506P							SNORD109B				snoU13|ENSG00000238800.1			PROM1	
									BCAS2					AGFG1									snoU13|ENSG00000239166.1			SIRT3					TRAV30			SNORA11B							SNORD115|ENSG00000212428.1				SLC5A8			LDB2	
									WARS2					DNAJB2									LINC00337			OR52A1					TRAV29DV5			LINC00642							SNORD109A				snoU13|ENSG00000238748.1			RAB28	
									PIAS3					HTR2B									RN7SL574P			PGAP2					TRAV27			RN7SKP255							SNORD108				RN7SL176P			KIAA0232	
									POLR3C					SP110									MIR551A			TRPM5					TRAV25			RN7SKP107							SNORD64|ENSG00000270704.2				RNA5SP366			WDR1	
									TXNIP					IGFBP2									MEGF6			UBQLN3					TRAV24			KCNK10							SNHG14				SNORA53			FGFBP1	
									AP4B1					IGFBP5									LINC00982			BET1L					TRDV1			GPR65							SNURF				RN7SL179P			C4orf6	
									PHTF1					IHH									TTC34			CEND1					TRAV23DV6			LINC00911							snoU13|ENSG00000238615.1				SLC9A7P1			MFSD10	
									ADAM30					CXCR1									C1orf222			CDHR5					TRAV22			RNU3P3							PWRN1				RMST			MAEA	
									CD160					CXCR2									TMEM240			TOLLIP					TRAV21			RNU6ATAC28P							PWRN2				C12orf63			PCGF3	
									NBPF14					INHA									RN7SL657P			TRIM68					TRAV20			snoU13|ENSG00000238978.1							MAGEL2				C12orf55			SPON2	
									PTPN22					INPP5D									TAS1R3			PIDD					TRAV19			SERPINA3							RN7SL536P				RN7SKP11			TACC3	
									PHGDH					IRS1									RNF223			KCNQ1DN					TRAV18			AKT1							GOLGA8S				ELK3			MXD4	
									BOLA1					KCNJ13									FAM41C			MMP26					TRAV17			BDKRB1							RN7SL106P				RN7SL88P			CPLX1	
									HAO2					NDUFA10									FAM87B			CHRNA10					TRAV16			BDKRB2							HERC2P2				SNRPF			SLC26A1	
									GPR89B					SEPT2									OR4F5			PNPLA2					TRAV14DV4			CALM1							RN7SL495P				PGAM1P5			MAN2B2	
									TRIM33					NEU2									FAM138A			PHRF1					TRAV10			SERPINA6							WHAMMP3				KRT19P2			FBXL5	
									RSBN1					PAX3									DDX11L1			SIGIRR					TRAV7			FOXN3							RN7SL545P				RN7SL483P			NSG1	
									GDAP2					PDCD1									ALPL			RIC8A					TRAV6			CHGA							GOLGA8DP				RN7SL330P			LAP3	
