cytoband	7p11.2	12q14.1	4q12	1q32.1	12q15	12p13.32	3q26.33	8q24.21	7q31.2	2p24.3	17q25.1	1q44	17p13.2	19p13.3	13q34	7q21.2	1p36.21	4p16.3	7q32.3	11q24.1	10p15.1	Xp11.21	7q11.21	1q22	19q13.2	5p15.33	11p13	14q32.33	9q34.3	19q12	
								POU5F1B			MIR3678	DESI2							RNA5SP245	SC5D	AKR1CL1	ALAS2		CCT3	ZFP36			TMEM179	snoU13|ENSG00000238824.1		
								CASC8				C1orf100							CPA1	TBCEL	U8|ENSG00000239142.1	FGD1		SLC25A44	GMFG			C14orf180	CACNA1B		
								CCAT1				C1orf101							CPA2	OAF	U8|ENSG00000251740.1	PFKFB1		C1orf61	PAK4			MIR4710	GRIN1		
								PCAT2											MEST	THY1	U8|ENSG00000239148.1	TRO		NES	SIRT2				SSNA1		
								PCAT1											MKLN1	MFRP	U8|ENSG00000238840.1	HUWE1		PMF1	PAF1				TUBB4B		
								MYC											PODXL	ACA64|ENSG00000252119.1	AKR1C1	RRAGB		SMG5	SARS2				NOXA1		
								ASAP1											KLHDC10	HINFP	LINC00705	MAGED2		RRNAD1	SAMD4B				NELFB		
								FAM49B											CPA4	C2CD2L	LINC00704	KLF8		GPATCH4	MED29				NSMF		
								GSDMC											ZC3HC1	MIR3656	LINC00703	PHF8		RHBG	LRFN1				NDOR1		
								MIR1205											TMEM209	RPS25	LINC00702	MAGEH1		HAPLN2	PLEKHG2				ANAPC2		
								MIR1207											CPA5	RN7SL529P	LINC00701	FAM120C		BCAN	FBXO17				TOR4A		
								PVT1											CEP41	RN7SL688P	LINC00700	WNK3		SEMA4A	RINL				EXD3		
								MIR1208											TSGA13	BCL9L	ADARB2	TSR2		MRPL24	FBXO27				EHMT1		
								MIR3686											KLF14	CXCR5	MIR5699	FAM104B		PAQR6	IFNL2				C9orf37		
								MIR5194											SSMEM1	DDX6	RN7SL754P	PAGE5		ISG20L2	IFNL3				ARRDC1		
																				TTC36	RNA5SP298	FOXR2		TMEM79	IFNL1				DPH7		
																				RN7SL86P	RNA5SP297	PAGE3		C1orf85	NCCRP1				TMEM203		
																				CD3G	TUBB8	USP51		TSACC	SYCN				ZMYND19		
																				MPZL3	CALML3	PAGE2		IQGAP3	PAPL				SLC34A3		
																				ARCN1	AKR1C4	ITIH6		APOA1BP	MIR4530				TPRN		
																				CBL	KLF6	PAGE2B		TTC24					PNPLA7		
																				CD3D	AKR1C2	MTRNR2L10		VHLL					C9orf169		
																				CD3E	GDI2								ENTPD8		
																				DPAGT1	IDI1								LRRC26		
																				SLC37A4	IL2RA								FAM166A		
																				GRIK4	IL15RA								C9orf173		
																				H2AFX	PFKFB3								NRARP		
																				HMBS	PFKP								MIR602		
																				HSPA8	AKR1C3								RNF208		
																				MCAM	NET1										
																				KMT2A	PITRM1										
																				PVRL1	ZMYND11										
																				SORL1	WDR37										
																				TECTA	DIP2C										
																				UPK2	LARP4B										
																				USP2	GTPBP4										
																				UBE4A	CALML5										
																				MPZL2	ANKRD16										
																				HYOU1	FAM208B										
																				ATP5L	ASB13										
																				TREH	TUBAL3										
																				PHLDB1	AKR1E2										
																				ARHGEF12	FBXO18										
																				TRIM29	RBM17										
																				POU2F3	IDI2										
																				TRAPPC4	UCN3										
																				VPS11	LINC00200										
																				CRTAM	PRR26										
																				IFT46											
																				GRAMD1B											
																				ABCG4											
																				RNF26											
																				NLRX1											
																				CLMP											
																				PDZD3											
																				C11orf63											
																				MFRP											
																				TMEM25											
																				UBASH3B											
																				C1QTNF5											
																				AMICA1											
																				TMEM136											
																				FOXR1											
																				CCDC153											
																				CCDC84											
																				BSX											
																				MIRLET7A2											
																				MIR100											
																				MIR125B1											
																				BLID											
																				MIR4493											
																				MIR4492											
